"","Text","Cluster"
"131","ROXANA_Q3825485","Cluster 2"
"132","MOLL_FLANDERS_Q612523","Cluster 3"
"133","THE_HISTORY_AND_REMARKABLE_LIFE_OF_THE_TRULY_HONOURABLE_COL_noWikiID","Cluster 2"
"134","A_JOURNAL_OF_THE_PLAGUE_YEAR_Q1215399","Cluster 4"
"135","VALPERGA_noWikiID","Cluster 3"
"136","THE_HOUSE_ON_THE_BORDERLAND_Q740473","Cluster 4"
"137","THE_FIRST_MEN_IN_THE_MOON_Q1218232","Cluster 3"
"138","THE_HILL_OF_DREAMS_Q1394147","Cluster 4"
"139","EVELINA_Q1635110","Cluster 1"
"140","THE_TRIUMPH_OF_PRUDENCE_OVER_PASSION_noWikiID","Cluster 3"
"141","THE_CAXTONS_Q16385244","Cluster 4"
"142","JANE_EYRE_Q182961","Cluster 1"
"143","THE_CASTLE_OF_OTRANTO_Q548576","Cluster 4"
"144","LONGSWORD_(NOVEL)_Q104859091","Cluster 4"
"145","THE_HISTORY_OF_THE_COUNTESS_OF_DELLWYN_Q19902681","Cluster 4"
"146","QUENTIN_DURWARD_Q2469230","Cluster 2"
"147","THE_HERO_noWikiID","Cluster 3"
"148","TOMMY_AND_GRIZEL_Q124090899","Cluster 3"
"149","RINGAN_GILHAIZE_noWikiID","Cluster 4"
"150","THE_THREE_PERILS_OF_MAN_Q96409659","Cluster 3"
"151","OLD_MORTALITY_Q3234969","Cluster 3"
"152","THE_BROWNIE_OF_BODSBECK_Q96408508","Cluster 3"
"153","CARMILLA_Q1043792","Cluster 4"
"154","ST_MARTIN'S_EVE_noWikiID","Cluster 3"
"155","UNCLE_SILAS_Q3835925","Cluster 3"
"156","THE_WELL_AT_THE_WORLD'S_END_Q2384134","Cluster 3"
"157","SAINT_RONAN'S_WELL_Q3232270","Cluster 2"
"158","THE_WHITE_COMPANY_noWikiID","Cluster 3"
"159","A_DREAM_OF_JOHN_BALL_noWikiID","Cluster 3"
"160","THE_BLACK_ARROW_noWikiID","Cluster 3"
"161","THE_OLD_WIVES'_TALE_noWikiID","Cluster 3"
