"","Text","Cluster"
"183","JONATHAN_WILD_noWikiID","Cluster 3"
"184","JORROCK'S_JAUNTS_AND_JOLLITIES_noWikiID","Cluster 4"
"185","JOSEPH_ANDREWS_Q784226","Cluster 2"
"186","JUDE_THE_OBSCURE_Q1248773","Cluster 3"
"187","JUST_SO_STORIES_Q1247723","Cluster 4"
"188","KENILWORTH_Q2600597","Cluster 2"
"189","KIDNAPPED_(NOVEL)_Q2349094","Cluster 4"
"190","KIM_(NOVEL)_Q589868","Cluster 4"
"191","KING_SOLOMON'S_MINES_Q1137494","Cluster 3"
"192","KIPPS_Q1249082","Cluster 3"
"193","KNOCKNAGOW_noWikiID","Cluster 4"
"194","LADY_AUDLEY'S_SECRET_Q2738351","Cluster 3"
"195","LEVER'S_LORD_KILGOBBIN_noWikiID","Cluster 3"
"196","LIBER_AMORIS_noWikiID","Cluster 4"
"197","LIFE'S_LITTLE_IRONIES_noWikiID","Cluster 4"
"198","LIFE_AND_ADVENTURES_OF_PETER_WILKINS_noWikiID","Cluster 2"
"199","LIFE_AND_PERAMBULATIONS_OF_A_MOUSE_noWikiID","Cluster 4"
"200","LILITH_noWikiID","Cluster 3"
"201","LITTLE_DORRIT_Q565638","Cluster 1"
"202","LITTLE_LORD_FAUNTLEROY_Q387480","Cluster 4"
"203","LONGSWORD_(NOVEL)_Q104859091","Cluster 4"
"204","LORD_JIM_Q727408","Cluster 2"
"205","LORNA_DOONE_Q3400981","Cluster 2"
"206","LOSS_AND_GAIN_Q3259809","Cluster 4"
"207","LOST_DIARIES_noWikiID","Cluster 4"
"208","LOVE_AMONG_THE_RUINS_noWikiID","Cluster 4"
"209","LOVE_AND_MADNESS_Q6691643","Cluster 4"
"210","LOVE_AND_MR_LEWISHAM_Q4271834","Cluster 3"
"211","LOVE_IN_EXCESS;_OR_THE_FATAL_ENQUIRY_Q1588738","Cluster 2"
"212","LOVE_INTRIGUES_noWikiID","Cluster 3"
"213","MADAM_HOW_AND_LADY_WHY_noWikiID","Cluster 4"
"214","MAN_AND_WIFE_(NOVEL)_Q16386863","Cluster 3"
"215","MANSFIELD_PARK_Q469690","Cluster 3"
"216","MARIA_OR_THE_WRONGS_OF_WOMAN_Q890170","Cluster 4"
"217","MARIUS_THE_EPICUREAN_Q5477441","Cluster 4"
"218","MARRIAGE_noWikiID","Cluster 4"
"219","MARTIN_CHUZZLEWIT_Q1903609","Cluster 1"
"220","MARY_A_FICTION_Q2900963","Cluster 4"
"221","MARY_BARTON_Q2607078","Cluster 3"
"222","MASTERMAN_READY_OR_THE_WRECK_OF_THE_PACIFIC_Q6785376","Cluster 2"
"223","MATHILDA_Q3851863","Cluster 4"
"224","MAX_noWikiID","Cluster 4"
"225","MAZEPPA_noWikiID","Cluster 4"
"226","MELMOTH_THE_WANDERER_Q1475956","Cluster 2"
"227","MEMOIRS_OF_A_CAVALIER_Q6815274","Cluster 4"
"228","MEMOIRS_OF_A_MAGDALEN_Q6815279","Cluster 4"
"229","MEMOIRS_OF_CARWIN_THE_BILOQUIST_Q6815263","Cluster 4"
"230","MEMOIRS_OF_EMMA_COURTNEY_Q2395365","Cluster 4"
"231","MICAH_CLARKE_Q3050442","Cluster 2"
"232","MIDDLEMARCH_Q313129","Cluster 2"
"233","MILLENIUM_HALL_Q6858753","Cluster 3"
"234","MOLL_FLANDERS_Q612523","Cluster 3"
"235","MOPSA_THE_FAIRY_noWikiID","Cluster 3"
"236","MORAL_TALES_noWikiID","Cluster 4"
"237","MR_MIDSHIPMAN_EASY_Q1936382","Cluster 1"
"238","MY_KALULU_PRINCE,_KING,_AND_SLAVE_noWikiID","Cluster 4"
"239","MY_LADY_LUDLOW_Q16387198","Cluster 4"
"240","MY_NEW_CURATE_noWikiID","Cluster 4"
"241","NATURE_AND_ART_Q48770862","Cluster 4"
"242","NEW_GRUB_STREET_noWikiID","Cluster 2"
"243","NIGHT_AND_MORNING_noWikiID","Cluster 4"
"244","NIGHTMARE_ABBEY_Q4054406","Cluster 4"
"245","NO_NAME_(NOVEL)_Q7044605","Cluster 1"
"246","NO_THOROUGHFARE_Q7045074","Cluster 4"
"247","NORTH_AND_SOUTH_(GASKELL_NOVEL)_Q1853142","Cluster 2"
"248","NORTHANGER_ABBEY_Q477508","Cluster 2"
"249","NOSTROMO_Q430248","Cluster 3"
"250","NOUGHTS_&_CROSSES_noWikiID","Cluster 3"
"251","ODD_MAN_OUT_noWikiID","Cluster 4"
"252","ODOUR_OF_CHRYSANTHEMUMS_Q7078330","Cluster 4"
"253","OLD_MORTALITY_Q3234969","Cluster 2"
"254","OLIVER_TWIST_Q164974","Cluster 2"
"255","ON_THE_FACE_OF_THE_WATERS_Q59151630","Cluster 4"
"256","ORIGINAL_STORIES_FROM_REAL_LIFE_Q2705647","Cluster 4"
"257","ORLEY_FARM_(NOVEL)_Q16962094","Cluster 1"
"258","OROONOKO_Q2453934","Cluster 2"
"259","OUR_MUTUAL_FRIEND_Q1557935","Cluster 1"
"260","OUR_VILLAGE_Q7111226","Cluster 4"
"261","OUT_ON_THE_PAMPAS_noWikiID","Cluster 2"
"262","PAMELA_OR_VIRTUE_REWARDED_Q2048624","Cluster 2"
"263","PANDORA_noWikiID","Cluster 4"
"264","PATRONAGE_(NOVEL)_Q7148133","Cluster 3"
"265","PENDENNIS_Q7162382","Cluster 4"
"266","PERSUASION_(NOVEL)_Q333179","Cluster 3"
"267","PETER'S_PENCE_noWikiID","Cluster 4"
"268","PETER_AND_WENDY_Q3435337","Cluster 3"
"269","PETER_THE_WHALER_noWikiID","Cluster 2"
"270","PHANTASTES_Q1616808","Cluster 3"
"271","PHILISTIA_noWikiID","Cluster 4"
"272","PHINEAS_REDUX_Q7186370","Cluster 1"
"273","PLAIN_TALES_FROM_THE_HILLS_Q3484772","Cluster 3"
"274","PLATTNER_STORY_noWikiID","Cluster 3"
"275","POPULAR_TALES_noWikiID","Cluster 2"
"276","PRIDE_AND_PREJUDICE_Q170583","Cluster 2"
"277","PRINCE_RICARDO_OF_PANTOUFLIA_noWikiID","Cluster 4"
"278","PUCK_OF_POOK'S_HILL_Q4342308","Cluster 4"
"279","QUENTIN_DURWARD_Q2469230","Cluster 2"
"280","RECOLLECTIONS_OF_A_DETECTIVE_POLICE_OFFICER_noWikiID","Cluster 4"
"281","RECORDS_OF_A_GIRLHOOD_noWikiID","Cluster 4"
"282","RED_POTTAGE_noWikiID","Cluster 2"
"283","REDGAUNTLET_Q3422871","Cluster 2"
"284","RINGAN_GILHAIZE_noWikiID","Cluster 3"
"285","ROB_ROY_Q2156104","Cluster 1"
"286","ROBERT_ELSMERE_Q7344052","Cluster 1"
"287","ROBERT_FALCONER_noWikiID","Cluster 2"
"288","ROBINSON_CRUSOE_Q483034","Cluster 2"
"289","ROMOLA_Q7363279","Cluster 4"
"290","ROOKWOOD_(NOVEL)_Q7366231","Cluster 4"
"291","ROXANA_Q3825485","Cluster 4"
"292","RUJUB_THE_JUGGLER_noWikiID","Cluster 4"
"293","RUTH_Q80038","Cluster 2"
"294","SAINT_RONAN'S_WELL_Q3232270","Cluster 3"
"295","SALEM_CHAPEL_noWikiID","Cluster 3"
"296","SANDERS_OF_THE_RIVER_noWikiID","Cluster 4"
"297","SANDITON_Q3180417","Cluster 4"
"298","SARTOR_RESARTUS_Q1134140","Cluster 3"
"299","SCENES_OF_CLERICAL_LIFE_Q6544172","Cluster 3"
"300","SECRESY_noWikiID","Cluster 3"
"301","SELF-CONTROL_(NOVEL)_Q3478102","Cluster 1"
"302","SENSE_AND_SENSIBILITY_Q274744","Cluster 2"
"303","SENTIMENTAL_TOMMY_noWikiID","Cluster 3"
"304","SEVEN_LITTLE_AUSTRALIANS_Q7457323","Cluster 3"
"305","SHE_A_HISTORY_OF_ADVENTURE_Q640513","Cluster 3"
"306","SHIRLEY_(NOVEL)_Q615175","Cluster 3"
"307","SILAS_MARNER_Q638327","Cluster 4"
"308","SING_A_SONG_OF_SIXPENCE_noWikiID","Cluster 4"
"309","SIR_GIBBIE_noWikiID","Cluster 3"
"310","SIR_NIGEL_Q1963997","Cluster 2"
"311","SKETCHES_BY_BOZ_Q2609480","Cluster 4"
"312","SOME_EXPERIENCES_OF_AN_IRISH_R.M._noWikiID","Cluster 3"
"313","SON_OF_MARS_noWikiID","Cluster 4"
"314","SONS_AND_LOVERS_Q80771","Cluster 2"
"315","SPIES_OF_THE_KAISER_noWikiID","Cluster 4"
"316","ST_IVES_Q4675044","Cluster 4"
"317","ST_LEON_Q7589523","Cluster 1"
"318","ST_MARTIN'S_EVE_noWikiID","Cluster 4"
"319","STALKY_&_CO._Q4439259","Cluster 4"
"320","STELLA_MARIS_noWikiID","Cluster 2"
"321","SUNRISE_noWikiID","Cluster 4"
"322","SUSPIRIA_DE_PROFUNDIS_Q3978307","Cluster 3"
"323","SYBIL_Q3506752","Cluster 4"
"324","SYLVIAS_LOVERS_Q14566477","Cluster 4"
"325","SYLVIE_AND_BRUNO_Q1632505","Cluster 4"
"326","TALE_OF_TWO_BAD_MICE_noWikiID","Cluster 4"
"327","TALES_FROM_SHAKESPEARE_Q589197","Cluster 3"
"328","TALES_OF_FASHIONABLE_LIFE_noWikiID","Cluster 2"
"329","TALES_OF_MEAN_STREETS_noWikiID","Cluster 3"
"330","TALES_OF_UNREST_noWikiID","Cluster 2"
"331","TANCRED_(NOVEL)_Q7682378","Cluster 4"
"332","TESS_OF_THE_D'URBERVILLES_Q649409","Cluster 2"
"333","THE_ABBOT_Q2717772","Cluster 2"
"334","THE_ABSENTEE_Q7712149","Cluster 4"
"335","THE_ADVENTURES_OF_A_BROWNIE_noWikiID","Cluster 4"
"336","THE_ADVENTURES_OF_ANTHONY_VARNISH_noWikiID","Cluster 4"
"337","THE_ADVENTURES_OF_DAVID_SIMPLE_noWikiID","Cluster 3"
"338","THE_ADVENTURES_OF_HAJJI_BABA_noWikiID","Cluster 4"
"339","THE_ADVENTURES_OF_HUGH_TREVOR_noWikiID","Cluster 3"
"340","THE_ADVENTURES_OF_PEREGRINE_PICKLE_Q7712607","Cluster 2"
"341","THE_ADVENTURES_OF_RIVELLA_Q85806338","Cluster 4"
"342","THE_ADVENTURES_OF_RODERICK_RANDOM_Q7712626","Cluster 1"
"343","THE_ADVENTURES_OF_SHERLOCK_HOLMES_Q392147","Cluster 4"
"344","THE_ALTAR_OF_THE_DEAD_Q7713242","Cluster 4"
"345","THE_AMBASSADORS_Q650571","Cluster 2"
"346","THE_AMERICAN_Q3080503","Cluster 4"
"347","THE_ANTI-PAMELA_Q7713932","Cluster 2"
"348","THE_ANTIQUARY_Q1157183","Cluster 2"
"349","THE_ASPERN_PAPERS_Q2362409","Cluster 4"
"350","THE_AUTOBIOGRAPHY_OF_MARK_RUTHERFORD_noWikiID","Cluster 4"
"351","THE_AWKWARD_AGE_noWikiID","Cluster 3"
"352","THE_AYRSHIRE_LEGATEES_noWikiID","Cluster 4"
"353","THE_BATTLE_OF_DORKING_Q7715857","Cluster 4"
"354","THE_BATTLE_OF_THE_BOOKS_Q7715895","Cluster 3"
"355","THE_BEACH_OF_FALESA_Q7715970","Cluster 3"
"356","THE_BEETLE_(NOVEL)_Q7716299","Cluster 4"
"357","THE_BETH_BOOK_noWikiID","Cluster 1"
"358","THE_BICKERSTAFF_PAPERS_noWikiID","Cluster 4"
"359","THE_BLACK_ARROW_noWikiID","Cluster 2"
"360","THE_BLACK_DWARF_noWikiID","Cluster 3"
"361","THE_BLACK_PROPHET_noWikiID","Cluster 3"
"362","THE_BRIDE_OF_LAMMERMOOR_Q2659725","Cluster 2"
"363","THE_BRITISH_BARBARIANS_noWikiID","Cluster 4"
"364","THE_BROWNIE_OF_BODSBECK_Q96408508","Cluster 2"
"365","THE_CANTERVILLE_GHOST_Q288020","Cluster 4"
"366","THE_CARVED_LIONS_Q7721468","Cluster 4"
"367","THE_CASTLE_OF_OTRANTO_Q548576","Cluster 4"
"368","THE_CASTLE_OF_WOLFENBACH_Q3520218","Cluster 2"
"369","THE_CASTLES_OF_ATHLIN_AND_DUNBAYNE_Q7721600","Cluster 4"
"370","THE_CAXTONS_Q16385244","Cluster 4"
"371","THE_CHANGELING_noWikiID","Cluster 2"
"372","THE_CHANNINGS_(NOVEL)_Q7722115","Cluster 4"
"373","THE_CHILDREN_OF_THE_ABBEY_Q7722505","Cluster 1"
"374","THE_CHILDREN_OF_THE_NEW_FOREST_Q7722508","Cluster 3"
"375","THE_CHIMES_Q3828573","Cluster 4"
"376","THE_CLAYHANGER_noWikiID","Cluster 2"
"377","THE_CLEVER_WOMAN_OF_THE_FAMILY_noWikiID","Cluster 3"
"378","THE_CLOISTER_AND_THE_HEARTH_Q7723455","Cluster 4"
"379","THE_COMING_OF_CUCULAIN_noWikiID","Cluster 4"
"380","THE_CONFESSIONS_OF_HARRY_LORREQUER_noWikiID","Cluster 4"
"381","THE_CONSOLIDATOR_Q60753482","Cluster 3"
"382","THE_COUNTRY_OF_THE_BLIND_Q823691","Cluster 4"
"383","THE_CRICKET_ON_THE_HEARTH_Q825220","Cluster 4"
"384","THE_CROWN_OF_SUCCESS_noWikiID","Cluster 4"
"385","THE_DARK_FLOWER_noWikiID","Cluster 4"
"386","THE_DAYS_OF_AULD_LANGSYNE_noWikiID","Cluster 4"
"387","THE_DEAD_SECRET_Q16934313","Cluster 2"
"388","THE_DEMI-GODS_noWikiID","Cluster 4"
"389","THE_DOCTOR'S_WIFE_(MOORE_NOVEL)_Q7730467","Cluster 3"
"390","THE_DUKE'S_CHILDREN_Q7731161","Cluster 1"
"391","THE_EBB-TIDE_Q4674957","Cluster 2"
"392","THE_EGOIST_(NOVEL)_Q7731638","Cluster 4"
"393","THE_EMIGRANTS_OF_AHADARRA_noWikiID","Cluster 3"
