;Text;CanonisationScore;NearestNeighbour;SimilarityScore
270;AUS_DER_CHRONIKA_EINES_FAHRENDEN_SCHUELERS_Q777681;0.085118974;DIE_KRONENWAECHTER_Q1214104;0.842199122
271;AUS_DER_CHRONIKA_EINES_FAHRENDEN_SCHUELERS_Q777681;0.085118974;ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES_Q689540;0.768870636
272;AUS_DER_CHRONIKA_EINES_FAHRENDEN_SCHUELERS_Q777681;0.085118974;DER_WINTERGARTEN_noWikiID;0.756533038
723;AUS_EINER_FAMILIE_noWikiID;0.020546783;RUHE_IST_DIE_ERSTE_BUERGERPFLICHT_noWikiID;0.830133086
724;AUS_EINER_FAMILIE_noWikiID;0.020546783;DIE_RITTER_VOM_GEISTE_noWikiID;0.816842127
725;AUS_EINER_FAMILIE_noWikiID;0.020546783;SCHLOSS_UND_FABRIK_noWikiID;0.807672455
1658;AUS_GUTER_FAMILIE_noWikiID;0.022106849;PROFESSOR_UNRAT_Q457481;0.882083489
1659;AUS_GUTER_FAMILIE_noWikiID;0.022106849;DIE_GOETTINNEN_ODER_DIE_DREI_ROMANE_DER_HERZOGIN_VON_ASSY_Q1213243;0.877262636
1660;AUS_GUTER_FAMILIE_noWikiID;0.022106849;GESCHWISTER_TANNER_Q1510146;0.874553867
690;AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT_Q569377;0.838335599;DIE_WAHLVERWANDTSCHAFTEN_Q951198;0.923160281
691;AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT_Q569377;0.838335599;DER_WINTERGARTEN_noWikiID;0.855106847
692;AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT_Q569377;0.838335599;FLORENTIN_noWikiID;0.84037593
1133;AUS_TROTZKOPFS_EHE_noWikiID;0.020546783;GIB_MICH_FREI_noWikiID;0.868629505
1134;AUS_TROTZKOPFS_EHE_noWikiID;0.020546783;STERBEN_noWikiID;0.854010996
1135;AUS_TROTZKOPFS_EHE_noWikiID;0.020546783;JUNGFER_MUTTER_noWikiID;0.846699906
1217;AUSWAHL_AUS_DES_TEUFELS_PAPIEREN_noWikiID;0.064533999;GROENLAENDISCHE_PROZESSE_noWikiID;0.890771534
1218;AUSWAHL_AUS_DES_TEUFELS_PAPIEREN_noWikiID;0.064533999;GEHEIME_GESCHICHTE_DES_PHILOSOPHEN_PEREGRINUS_PROTEUS_noWikiID;0.801706387
1219;AUSWAHL_AUS_DES_TEUFELS_PAPIEREN_noWikiID;0.064533999;ARDINGHELLO_noWikiID;0.788982118
939;BAHNWAERTER_THIEL_Q803617;0.40779537;FRAU_SORGE_noWikiID;0.873683918
940;BAHNWAERTER_THIEL_Q803617;0.40779537;EIN_DOPPELGAENGER_Q19188654;0.835102804
941;BAHNWAERTER_THIEL_Q803617;0.40779537;EIN_FEST_AUF_HADERSLEVHUUS_noWikiID;0.822822984
411;BARBAROSSA_noWikiID;0.060164085;BEATRICE_noWikiID;0.833054209
412;BARBAROSSA_noWikiID;0.060164085;IM_SIESGESKRANZE_noWikiID;0.736137695
413;BARBAROSSA_noWikiID;0.060164085;VERWORRENES_LEBEN_noWikiID;0.729240288
1136;BEATRICE_noWikiID;0.056072341;DIE_MANDANEN-WAISE_noWikiID;0.849758736
1137;BEATRICE_noWikiID;0.056072341;DAS_MAEDCHEN_VON_TREPPI_Q28071194;0.799807173
1138;BEATRICE_noWikiID;0.056072341;INNOCENS_Q1664115;0.797205643
1406;BEBUQUIN_Q30134038;0.28976479;DIE_CHINESISCHE_MAUER_noWikiID;0.777819904
1407;BEBUQUIN_Q30134038;0.28976479;CHRISTA_RUHLAND_noWikiID;0.700978074
1408;BEBUQUIN_Q30134038;0.28976479;MAERCHEN_DES_LEBENS_noWikiID;0.695098014
33;BELPHEGOR_noWikiID;0.079473571;DAS_LEBEN_UND_DIE_MEINUNGEN_DES_HERRN_MAGISTER_SEBALDUS_NOTHANKER_Q1810894;0.800442636
34;BELPHEGOR_noWikiID;0.079473571;DER_GOLDNE_SPIEGEL_noWikiID;0.789480202
35;BELPHEGOR_noWikiID;0.079473571;GESCHICHTE_DES_AGATHON_Q1517277;0.762140618
147;BILDER_UND_GESCHICHTEN_AUS_SCHWABEN_Q15788617;0.020546783;DIE_FRAU_PROFESSORIN_noWikiID;0.875079011
148;BILDER_UND_GESCHICHTEN_AUS_SCHWABEN_Q15788617;0.020546783;DIE_NACHBARN_noWikiID;0.858266126
149;BILDER_UND_GESCHICHTEN_AUS_SCHWABEN_Q15788617;0.020546783;SCHWARZWAELDER_DORFGESCHICHTEN_Q60982841;0.853336324
495;BLUMEN_noWikiID;0.085118974;EIN_BEKENNTNIS_noWikiID;0.678421783
496;BLUMEN_noWikiID;0.085118974;JUNGFER_MUTTER_noWikiID;0.673501922
497;BLUMEN_noWikiID;0.085118974;TOTENMESSE_noWikiID;0.65793839
684;BOZENA_noWikiID;0.064533999;DIE_ZWEITE_FRAU_noWikiID;0.894581931
685;BOZENA_noWikiID;0.064533999;LOTTI,_DIE_UHRMACHERIN_noWikiID;0.87227281
686;BOZENA_noWikiID;0.064533999;DAS_GEHEIMNIS_DER_ALTEN_MAMSELL_noWikiID;0.865477312
408;BRIEFE_EINES_NARREN_UND_EINER_NAERRIN_noWikiID;0.064533999;DER_HEXENSABBAT_noWikiID;0.783327057
409;BRIEFE_EINES_NARREN_UND_EINER_NAERRIN_noWikiID;0.064533999;DER_ALTE_VOM_BERGE_noWikiID;0.782839117
410;BRIEFE_EINES_NARREN_UND_EINER_NAERRIN_noWikiID;0.064533999;DER_AUFRUHR_IN_DEN_CEVENNEN_Q1192283;0.775364568
225;BRIGITTA_(STIFTER)_Q539511;0.28976479;ZWEI_SCHWESTERN_noWikiID;0.851452109
226;BRIGITTA_(STIFTER)_Q539511;0.28976479;DAS_LEBEN_DER_HOCHGRAEFIN_GRITTA_VON_RATTENZUHAUSBEIUNS_noWikiID;0.838821045
227;BRIGITTA_(STIFTER)_Q539511;0.28976479;DIE_NARRENBURG_Q21328513;0.811483125
1118;BUDDENBROOKS_Q326909;0.144732512;IM_SCHLARAFFENLAND_Q1285424;0.923919877
1119;BUDDENBROOKS_Q326909;0.144732512;DER_BUETTNERBAUER_noWikiID;0.884189652
1120;BUDDENBROOKS_Q326909;0.144732512;DER_STECHLIN_(ROMAN)_Q1197130;0.877347589
1286;BULEMANNS_HAUS_Q1003556;0.056072341;VERWORRENES_LEBEN_noWikiID;0.810210446
1287;BULEMANNS_HAUS_Q1003556;0.056072341;AUF_DER_UNIVERSITAET_Q15792139;0.797957682
1288;BULEMANNS_HAUS_Q1003556;0.056072341;JUDITH,_DIE_KLUSWIRTIN_noWikiID;0.773461444
861;BUNTE_STEINE_Q1009887;0.628138424;PROKOPUS_Q23689421;0.851141102
862;BUNTE_STEINE_Q1009887;0.628138424;ULI_DER_PAECHTER_noWikiID;0.849735762
863;BUNTE_STEINE_Q1009887;0.628138424;BRIGITTA_(STIFTER)_Q539511;0.847993398
54;CABANIS_noWikiID;0.025581818;SCHLOSS_AVALON_noWikiID;0.892329105
55;CABANIS_noWikiID;0.025581818;LICHTENSTEIN_noWikiID;0.874593929
56;CABANIS_noWikiID;0.025581818;ADDRICH_IM_MOOS_noWikiID;0.868103804
3;CARSTEN_CURATOR_Q1045516;0.060164085;POLE_POPPENSPAELER_Q1760267;0.875000757
4;CARSTEN_CURATOR_Q1045516;0.060164085;NOVELLEN_AUS_OESTERREICH_noWikiID;0.874077348
5;CARSTEN_CURATOR_Q1045516;0.060164085;ZUERICHER_NOVELLEN_Q248678;0.866521271
123;CECILE_noWikiID;0.305392408;SCHACH_VON_WUTHENOW_Q2229265;0.920794552
124;CECILE_noWikiID;0.305392408;L'ADULTERA_Q1744488;0.888680592
125;CECILE_noWikiID;0.305392408;UNTERM_BIRNBAUM_Q938689;0.887098546
1577;CHRISTA_RUHLAND_noWikiID;0.020546783;SIBILLA_DALMAR_noWikiID;0.916671438
1578;CHRISTA_RUHLAND_noWikiID;0.020546783;FREIGEBOREN_noWikiID;0.914049231
1579;CHRISTA_RUHLAND_noWikiID;0.020546783;SCHICKSALE_EINER_SEELE_noWikiID;0.90960169
1376;CLEMENTINE_noWikiID;0.020546783;EVREMONT_noWikiID;0.845183303
1377;CLEMENTINE_noWikiID;0.020546783;ADELE_noWikiID;0.835688681
1378;CLEMENTINE_noWikiID;0.020546783;VITTORIA_ACCOROMBONA_Q1403207;0.805248874
423;DAPHNIS_noWikiID;0.02378249;GESPRAECHE_MIT_DAEMONEN_noWikiID;0.620456662
424;DAPHNIS_noWikiID;0.02378249;DAS_LEBEN_DER_HOCHGRAEFIN_GRITTA_VON_RATTENZUHAUSBEIUNS_noWikiID;0.610729511
425;DAPHNIS_noWikiID;0.02378249;DIE_GUENDERODE_noWikiID;0.609860982
1322;DAS_ALTE_HAUS_noWikiID;0.020546783;MARTIN_SALANDER_Q1904882;0.829931974
1323;DAS_ALTE_HAUS_noWikiID;0.020546783;SCHWEIGEN_noWikiID;0.790007349
1324;DAS_ALTE_HAUS_noWikiID;0.020546783;ZUR_WALD-_UND_WASSERFREUDE_noWikiID;0.787576145
606;DAS_AMULETT_Q1167148;0.518885032;DIE_AHNEN_Q42185371;0.845731259
607;DAS_AMULETT_Q1167148;0.518885032;ANDREA_DELFIN_Q28054637;0.80998713
608;DAS_AMULETT_Q1167148;0.518885032;DEUTSCHE_PIONIERE_noWikiID;0.804057422
120;DAS_BLUETHENALTER_DER_EMPFINDUNG_noWikiID;0.02378249;DER_GENIUS_noWikiID;0.770095563
121;DAS_BLUETHENALTER_DER_EMPFINDUNG_noWikiID;0.02378249;HERMANN_VON_UNNA_noWikiID;0.717136741
122;DAS_BLUETHENALTER_DER_EMPFINDUNG_noWikiID;0.02378249;DER_GEISTERSEHER_Q1193812;0.706893024
1622;DAS_BUCH_LE_GRAND_noWikiID;0.274620702;DER_AUFRUHR_IN_DEN_CEVENNEN_Q1192283;0.816734037
