Source,Target,Weight
LORD_KELVIN_noWikiID,WILLIAM_THOMSON_(MUSICOLOGIST)_Q8019382,0.9655801653862
EARLY_LESSONS_noWikiID,THE_PURPLE_JAR_Q7758804,0.9731573462486267
EARLY_LESSONS_noWikiID,MORAL_TALES_noWikiID,0.9719352126121521
THE_HEART_OF_MIDLOTHIAN_Q2091094,THE_O'BRIENS_AND_THE_O'FLAHERTYS_noWikiID,0.9454121589660645
JOHN_HAWKESWORTH_(BOOK_EDITOR)_Q3181710,SCOTS_OBSERVER_noWikiID,0.9597843289375305
JOHN_HAWKESWORTH_(BOOK_EDITOR)_Q3181710,MATTHEW_RUSSELL_noWikiID,0.9589317440986633
JOHN_HAWKESWORTH_(BOOK_EDITOR)_Q3181710,ALEXANDER_KINCAID_Q18670684,0.9490161538124084
FIONN_noWikiID,BELLUMERE_noWikiID,0.9416037201881409
WELSH_noWikiID,COMPLICITY_(NOVEL)_Q5156663,0.9541541934013367
JAMES_THOMSON_(POET_BORN_1700)_Q555029,THOMAS_GRAY_Q315516,0.9437300562858582
JAMES_THOMSON_(POET_BORN_1700)_Q555029,EVAN_EVANS_(RACING_DRIVER)_Q16196001,0.9170593023300171
JAMES_THOMSON_(POET_BORN_1700)_Q555029,JAMES_THOMSON_(POET_BORN_1834)_Q984402,0.914241373538971
JAMES_THOMSON_(POET_BORN_1700)_Q555029,BEN_JONSON_Q193857,0.8602483868598938
SAMUEL_JOHNSON_noWikiID,ISAAC_WATTS_Q537034,0.8680926561355591
LANGSTON_HUGHES_Q188093,DOUGLAS_DUNN_noWikiID,0.9404804706573486
THE_SHAKESPEARE_GALLERY_noWikiID,THE_HARLOT'S_PROGRESS_noWikiID,0.9659279584884644
THE_SHAKESPEARE_GALLERY_noWikiID,PINKERTON_noWikiID,0.9611250758171082
SARTOR_noWikiID,IAIN_CRICHTON_SMITH_Q3396459,0.9076511859893799
CHILD_noWikiID,THE_DUTCH_LOVER_Q65052928,0.9131909608840942
GUSTAVE_FLAUBERT_Q43444,GUY_DE_MAUPASSANT_Q9327,0.9297075271606445
DEFENCE_noWikiID,HYPERION_Q1190094,0.9563823938369751
DEFENCE_noWikiID,ROBERT_MULDOON_Q737739,0.8852087259292603
DEFENCE_noWikiID,SCHILLER_noWikiID,0.881232500076294
JOHN_BALDWIN_BUCKSTONE_Q6220430,WILLIAM_THOMAS_MONCRIEFF_Q8019332,0.9584169983863831
JOHN_BALDWIN_BUCKSTONE_Q6220430,REYNOLDS_noWikiID,0.9557821750640869
JOHN_BALDWIN_BUCKSTONE_Q6220430,POTTER_noWikiID,0.9534959197044373
JOHN_BALDWIN_BUCKSTONE_Q6220430,GEORGE_PAYNE_RAINSFORD_JAMES_Q1508054,0.9431147575378418
SAMUEL_BUTLER_(POET)_Q258766,CATHERINE_GORE_Q531473,0.964704155921936
SAMUEL_BUTLER_(POET)_Q258766,PENDENNIS_Q7162382,0.9621581435203552
SAMUEL_BUTLER_(POET)_Q258766,THE_ODD_WOMEN_Q7754692,0.957737386226654
SAMUEL_BUTLER_(POET)_Q258766,ROBERT_ELSMERE_Q7344052,0.9423849582672119
CULTURE_AND_ANARCHY_Q5193480,THE_FUNCTION_OF_CRITICISM_AT_THE_PRESENT_TIME_noWikiID,0.9392130970954895
CULTURE_AND_ANARCHY_Q5193480,MATTHEW_ARNOLD_noWikiID,0.9161033630371094
CULTURE_AND_ANARCHY_Q5193480,JOHN_RUSKIN_noWikiID,0.9055893421173096
CULTURE_AND_ANARCHY_Q5193480,WILLIAM_JAMES_(NAVAL_HISTORIAN)_Q8013421,0.8851446509361267
CULTURE_AND_ANARCHY_Q5193480,THOMAS_CARLYLE_noWikiID,0.8843300938606262
CULTURE_AND_ANARCHY_Q5193480,JOHN_STUART_MILL_Q50020,0.8720853924751282
THE_FRENCH_REVOLUTION:_A_HISTORY_Q7735255,CONFESSIONS_OF_A_YOUNG_MAN_Q5160039,0.9391946792602539
ROTHERICK_O'CONNOR_noWikiID,LOVE_AND_A_BOTTLE_Q104853539,0.9290775060653687
DAVID_COPPERFIELD_Q189811,THE_TENANT_OF_WILDFELL_HALL_Q44701,0.9240737557411194
DAVID_COPPERFIELD_Q189811,TESS_OF_THE_D'URBERVILLES_Q649409,0.8975801467895508
DAVID_COPPERFIELD_Q189811,OLIVER_TWIST_Q164974,0.8688657283782959
DAVID_COPPERFIELD_Q189811,ADAM_BEDE_Q2611046,0.8648319244384766
WASHINGTON_IRVING_Q181667,ARTHUR_C._CLARKE_noWikiID,0.9455040097236633
WASHINGTON_IRVING_Q181667,JAMES_FENIMORE_COOPER_Q167856,0.9433276057243347
WASHINGTON_IRVING_Q181667,GEORGE_BERNARD_SHAW_noWikiID,0.9007738828659058
FREDERIC_W._H._MYERS_Q1336837,SCHOPENHAUER_noWikiID,0.935130774974823
FREDERIC_W._H._MYERS_Q1336837,JAMES_SULLY_noWikiID,0.9225747585296631
CHARLES_II_OF_NAPLES_Q314331,GEORGE_III_Q127318,0.9345049262046814
CHARLES_II_OF_NAPLES_Q314331,HENRY_I_OF_ENGLAND_Q101384,0.928264319896698
BUCK_MULLIGAN_noWikiID,BAILEGANGAIRE_noWikiID,0.9590651988983154
BUCK_MULLIGAN_noWikiID,CROME_YELLOW_Q5187582,0.9397973418235779
BUCK_MULLIGAN_noWikiID,ENDGAME_(PLAY)_Q1235448,0.930454671382904
THE_COTTER'S_SATURDAY_NIGHT_noWikiID,ON_A_RAISED_BEACH_noWikiID,0.9523669481277466
CLAIRE_HANSON_noWikiID,ALFRED_CHARLES_WARD_Q94657620,0.9650444388389587
MARTIN_AMIS_noWikiID,JOHN_FOWLES_noWikiID,0.9378177523612976
MARTIN_AMIS_noWikiID,ALASDAIR_GRAY_noWikiID,0.9289437532424927
MARTIN_AMIS_noWikiID,RUSHDIE_noWikiID,0.8620732426643372
OUR_VILLAGE_Q7111226,MARY_RUSSELL_MITFORD_Q455571,0.9406611323356628
ARTHUR_SULLIVAN_Q212692,W._S._GILBERT_noWikiID,0.9145959615707397
ARTHUR_SULLIVAN_Q212692,GILBERT_noWikiID,0.9095277786254883
HISTORY_OF_ENGLAND_noWikiID,DECLINE_AND_FALL_Q3115185,0.9237680435180664
HISTORY_OF_ENGLAND_noWikiID,WILLIAM_ROBERTSON_(HISTORIAN)_Q1113461,0.9134418368339539
THOMAS_LELAND_Q7791806,ISAAC_BUTT_Q1141134,0.9527780413627625
THOMAS_LELAND_Q7791806,JOHN_F._KENNEDY_Q316064,0.8848177790641785
LITTLE_DORRIT_Q565638,OUR_MUTUAL_FRIEND_Q1557935,0.904102087020874
THE_YELLOW_BOOK_noWikiID,HUMPHREY_JENNINGS_noWikiID,0.8393212556838989
LAIDLAW_(NOVEL)_Q6473776,MCILVANNEY_noWikiID,0.9029606580734253
LIAM_MILLER_noWikiID,WILLIAM_CREECH_Q14948911,0.9647944569587708
LIAM_MILLER_noWikiID,AN_GÚM_noWikiID,0.9636264443397522
CONFESSIONS_(ROUSSEAU)_Q1207595,A_JOURNAL_OF_THE_PLAGUE_YEAR_Q1215399,0.9388927817344666
CONFESSIONS_(ROUSSEAU)_Q1207595,"THE_HISTORY_OF_RASSELAS,_PRINCE_OF_ABYSSINIA_Q3419875",0.8828291893005371
MACPHERSON_noWikiID,FINGAL_noWikiID,0.9209599494934082
MACPHERSON_noWikiID,JAMES_MACPHERSON_Q312562,0.8493970036506653
EDWARD_I_OF_ENGLAND_Q57798,EDWARD_VI_Q83229,0.9519786238670349
EDWARD_I_OF_ENGLAND_Q57798,ROBERT_WALPOLE_(COLONEL)_Q7350829,0.949844241142273
EDWARD_I_OF_ENGLAND_Q57798,"HUGH_O'NEILL,_EARL_OF_TYRONE_Q225649",0.9441474676132202
EDWARD_I_OF_ENGLAND_Q57798,HENRY_II_OF_ENGLAND_Q102140,0.9222668409347534
EDWARD_VII_Q20875,FLEMING_noWikiID,0.957671582698822
EDWARD_VII_Q20875,ROBERT_CLIVE_(1789–1854)_Q7342986,0.9562587141990662
RHYS_noWikiID,SEBALD_BEHAM_Q507825,0.9649904370307922
RHYS_noWikiID,NINA_AUERBACH_Q7037847,0.9616710543632507
RHYS_noWikiID,THE_DEMON_LOVER_noWikiID,0.937736451625824
RHYS_noWikiID,GREENE_noWikiID,0.8975121378898621
A_VINDICATION_OF_THE_RIGHTS_OF_MEN_Q2638171,REFLECTIONS_ON_THE_REVOLUTION_IN_FRANCE_Q2287584,0.9010335803031921
A_VINDICATION_OF_THE_RIGHTS_OF_MEN_Q2638171,A_VINDICATION_OF_THE_RIGHTS_OF_WOMAN_Q300646,0.8891733288764954
OLD_TESTAMENT_Q19786,BEDE_Q154938,0.8892057538032532
OLD_TESTAMENT_Q19786,BIBLE_noWikiID,0.7270551323890686
THE_COMFORTERS_Q7726941,THE_PRIME_OF_MISS_JEAN_BRODIE_(NOVEL)_Q2074335,0.918158233165741
THE_COMFORTERS_Q7726941,THE_DRIVER'S_SEAT_noWikiID,0.9087188839912415
THE_COMFORTERS_Q7726941,CARTER_noWikiID,0.898313045501709
LINDA_K._HUGHES_Q107122488,SALLY_MITCHELL_noWikiID,0.958146870136261
LINDA_K._HUGHES_Q107122488,EAVAN_BOLAND_noWikiID,0.9460828900337219
LINDA_K._HUGHES_Q107122488,TRIMMER_noWikiID,0.9322369694709778
ROSANNA_SPEARMAN_noWikiID,PETER_WALSH_(RECORD_PRODUCER)_Q7177581,0.965577244758606
ROSANNA_SPEARMAN_noWikiID,BOB_CARR_Q541217,0.9606685042381287
ROSANNA_SPEARMAN_noWikiID,CORNFORTH_noWikiID,0.9550594687461853
MARTIN_HEIDEGGER_noWikiID,ADAM_SEDGWICK_Q350891,0.9605184197425842
MARTIN_HEIDEGGER_noWikiID,THE_ROMANTIC_IDEOLOGY_noWikiID,0.9454209804534912
MARTIN_HEIDEGGER_noWikiID,HUSSERL_noWikiID,0.9160048961639404
JON_SILKIN_Q6271576,LYELL_noWikiID,0.970218300819397
JON_SILKIN_Q6271576,GEORGE_BLAKE_(NOVELIST)_Q1506997,0.9662166833877563
JON_SILKIN_Q6271576,NORMAN_MACCAIG_Q3343801,0.9647160768508911
JON_SILKIN_Q6271576,GIBBON_noWikiID,0.9589928388595581
MAYNARD_MACK_Q55860453,CHRISTOPHER_BROOKMYRE_Q180328,0.9713436365127563
MAYNARD_MACK_Q55860453,STAUFFER_noWikiID,0.9657198786735535
MAYNARD_MACK_Q55860453,THE_LIFE_AND_DEATH_OF_HARRIETT_FREAN_noWikiID,0.9607359170913696
THOMAS_DE_QUINCEY_Q317160,WILLIAM_HAZLITT_Q126596,0.8619333505630493
DELARIVIER_MANLEY_Q299871,HAYWOOD_noWikiID,0.8800521492958069
DELARIVIER_MANLEY_Q299871,APHRA_BEHN_Q231886,0.8799737691879272
CONFESSIONS_OF_A_YOUNG_MAN_Q5160039,GILBERT_BURNET_Q2250014,0.9517539143562317
CONFESSIONS_OF_A_YOUNG_MAN_Q5160039,EREWHON_Q1350048,0.9352421164512634
CONFESSIONS_OF_A_YOUNG_MAN_Q5160039,HUGH_MILLER_Q376090,0.9202395677566528
HAMMETT_noWikiID,JOHN_COWPER_POWYS_Q1398332,0.9533928036689758
HAMMETT_noWikiID,VINCENT_VAN_GOGH_Q5582,0.9447029232978821
THE_NEW_BIOGRAPHY_noWikiID,FRANK_KERMODE_noWikiID,0.9524299502372742
THE_NEW_BIOGRAPHY_noWikiID,WILLIAM_FAULKNER_noWikiID,0.9476166367530823
MEMOIRS_OF_THE_AUTHOR_OF_A_VINDICATION_OF_THE_RIGHTS_OF_WOMAN_Q933002,LIFE_noWikiID,0.9084067940711975
LEERSSEN_noWikiID,GALLAGHER_(COMEDIAN)_Q5518822,0.9601461291313171
LEERSSEN_noWikiID,MURRAY_PITTOCK_Q16194751,0.9555910229682922
LEERSSEN_noWikiID,TOM_NAIRN_noWikiID,0.9461882710456848
HUNT_noWikiID,LEIGH_HUNT_Q655213,0.836906909942627
GREAT_EXPECTATIONS_Q219552,HARD_TIMES_(NOVEL)_Q1340493,0.9082146883010864
GREAT_EXPECTATIONS_Q219552,BLEAK_HOUSE_Q883305,0.8734455108642578
THE_EXAMINER_noWikiID,TAIT_noWikiID,0.9444836974143982
THE_EXAMINER_noWikiID,QUARTERLY_REVIEW_noWikiID,0.9294124245643616
THE_EXAMINER_noWikiID,EXAMINER_noWikiID,0.9264297485351562
ROALD_DAHL_noWikiID,MONTGOMERY_noWikiID,0.9651949405670166
C._P._SNOW_Q333575,FULFORD_noWikiID,0.9061251282691956
JOHN_SCOTT_noWikiID,CLITANDER_noWikiID,0.9581853747367859
FRANCES_BURNEY_(1776–1828)_Q5478549,ELIZABETH_GRIFFITH_Q1331217,0.9607433080673218
AMONGST_WOMEN_Q473979,THE_BRIDGE_noWikiID,0.9734264612197876
AMONGST_WOMEN_Q473979,THE_COMMITMENTS_(NOVEL)_Q1532325,0.9703966379165649
AMONGST_WOMEN_Q473979,THE_DARK_noWikiID,0.962568461894989
CRASH_Q1093988,THE_ATROCITY_EXHIBITION_Q1083082,0.9587101936340332
CRASH_Q1093988,HAROLD_HESLOP_Q5661019,0.9536542892456055
CRASH_Q1093988,GRAHAM_SWIFT_Q437718,0.9451761841773987
CARLINGFORD_noWikiID,SALEM_CHAPEL_noWikiID,0.9662695527076721
CARLINGFORD_noWikiID,AMELIA_noWikiID,0.9620027542114258
CARLINGFORD_noWikiID,STOWE_noWikiID,0.9616512656211853
CARLINGFORD_noWikiID,ANTHONY_CRONIN_noWikiID,0.9569238424301147
CARLINGFORD_noWikiID,KELLY_noWikiID,0.9561851024627686
CARLINGFORD_noWikiID,THE_CRY_noWikiID,0.9546476602554321
JOHN_MONTAGUE_(POET)_Q3182109,THE_LOST_LEADER_noWikiID,0.9578534364700317
THOMAS_HENRY_HUXLEY_Q184366,THOMAS_CARLYLE_noWikiID,0.8418358564376831
RUDYARD_KIPLING_noWikiID,JOSEPH_CONRAD_noWikiID,0.9061445593833923
THE_MAN_OF_THE_WORLD_noWikiID,SANDITON_Q3180417,0.9555867314338684
