title;wikiname;Binz_1790;Binz_1812;Armbruster_1813;Bachmann_1851;Gerold_1859;Last_1901;sum_libraries;binary;best_match_circl;circl
NA;DER_TROTZKOPF;0;0;0;0;0;0;0;0;NA;NA
der übergang;DER_UEBERGANG;0;0;0;0;0;0;0;0;der übergang;1
der untertan;DER_UNTERTAN;0;0;0;0;0;0;0;0;der untertan;1
der verbrecher aus verlorener ehre;DER_VERBRECHER_AUS_VERLORENER_EHRE;0;0;1;0;0;0;1;1;der verbrecher aus verlorener ehre;1
der waldbruder. ein pendant zu werthers leiden;DER_WALDBRUDER;0;0;0;0;0;0;0;0;der waldbruder. ein pendant zu werthers leiden;1
der waldbrunnen;DER_WALDBRUNNEN;0;0;0;0;0;0;0;0;der waldbrunnen;1
NA;DER_WASSERMENSCH;0;0;0;0;0;0;0;0;NA;NA
NA;DER_WEG_INS_FREIE;0;0;0;0;0;0;0;0;NA;NA
NA;DER_WEHRWOLF;0;0;0;0;0;0;0;0;NA;NA
der wintergarten;DER_WINTERGARTEN;0;0;0;0;0;0;0;0;der wintergarten;1
der zauberring;DER_ZAUBERRING;0;0;0;0;1;0;1;1;der zauberring;1
der zweikampf;DER_ZWEIKAMPF;1;0;0;1;0;1;3;1;der zweikampf;1
des deutschen spießers wunderhorn;DES_DEUTSCHEN_SPIESSERS_WUNDERHORN;0;0;0;0;0;0;0;0;des deutschen spießers wunderhorn;1
NA;DES_LEBENS_UEBERFLUSS;0;0;0;0;0;0;0;0;NA;NA
NA;DES_REICHES_KRONE;0;0;0;0;0;0;0;0;NA;NA
des vetters eckfenster;DES_VETTERS_ECKFENSTER;0;0;0;1;0;0;1;1;des vetters eckfenster;1
deutsche pioniere;DEUTSCHE_PIONIERE;0;0;0;0;0;1;1;1;NA;NA
NA;DEUTSCHER_ADEL_(WILHELM_RAABE);0;0;0;0;0;0;0;0;NA;NA
dichter und ihre gesellen;DICHTER_UND_IHRE_GESELLEN;0;0;0;0;1;0;1;1;dichter und ihre gesellen;1
NA;DICHTERLEBEN;0;0;0;0;0;0;0;0;NA;NA
die abderiten;DIE_ABDERITEN;0;1;0;0;0;0;1;1;NA;NA
die abenteuer der sylvesternacht;DIE_ABENTEUER_DER_SYLVESTERNACHT;0;0;0;1;1;1;3;1;die abenteuer der sylvesternacht;1
die abentheuer des don sylvio von rosalva;DIE_ABENTHEUER_DES_DON_SYLVIO_VON_ROSALVA;1;1;1;1;1;1;6;1;die abentheuer des don sylvio von rosalva;1
die ahnen;DIE_AHNEN;0;0;0;0;0;1;1;1;die ahnen;1
akten des vogelsangs;DIE_AKTEN_DES_VOGELSANGS;0;0;0;0;0;1;1;1;akten des vogelsangs;1
die anarchisten;DIE_ANARCHISTEN;0;0;0;0;0;0;0;0;die anarchisten;1
die baronin;DIE_BARONIN;0;0;0;0;1;0;1;1;NA;NA
die beichte;DIE_BEICHTE;0;0;0;0;1;0;1;1;NA;NA
NA;DIE_BRAUTNACHT;0;0;0;0;0;0;0;0;NA;NA
NA;DIE_CHINESISCHE_MAUER;0;0;0;0;0;0;0;0;NA;NA
chronik der sperlingsgasse;DIE_CHRONIK_DER_SPERLINGSGASSE;0;0;0;0;1;1;2;1;chronik der sperlingsgasse;1
NA;DIE_DREI_GERECHTEN_KAMMMACHER;0;0;0;0;0;0;0;0;NA;NA
NA;DIE_DREI_NUESSE;0;0;0;0;0;0;0;0;NA;NA
die elfen;DIE_ELFEN_(LUDWIG_TIECK);0;0;0;1;0;0;1;1;die elfen;1
die elixiere des teufels;DIE_ELIXIERE_DES_TEUFELS;0;0;0;1;1;1;3;1;die elixiere des teufels;1
NA;DIE_ENTFUEHRUNG;0;0;0;0;0;0;0;0;NA;NA
die epigonen;DIE_EPIGONEN;0;0;0;0;1;0;1;1;die epigonen;1
ermordung einer butterblume;DIE_ERMORDUNG_EINER_BUTTERBLUME;0;0;0;0;0;0;0;0;ermordung einer butterblume;1
