wikiname;syllabi;score_syllabi;freq_y
GESCHICHTE_VOM_BRAVEN_KASPERL_UND_DEM_SCHOENEN_ANNERL;1;97.14285714;2
GESCHICHTE_VOM_GALGENMAENNLEIN;;;
GESCHICHTEN_AUS_DEN_TIROLER_BERGEN;;;
GESCHWISTER_TANNER;;;
GESPRAECHE_MIT_DAEMONEN;;;
GIB_MICH_FREI;;;
GOCKEL,_HINKEL_UND_GACKELEIA;1;100;1
GODWI;1;100;1
GOLDELSE_(MARLITT);1;90;1
GRANDISON_DER_ZWEYTE;;;
GRETE_MINDE;;;
GRILLPARZERS_LIEBESROMAN;;;
GROENLAENDISCHE_PROZESSE;;;
GROSZMUETHIGER_FELDHERR_ARMINIUS;;;
GUTMANNS_REISEN;;;
HALBTIER;1;94.11764706;1
HAMMER_UND_AMBOSS;1;90.90909091;1
HANS_UND_HEINZ_KIRCH;1;100;1
HASTENBECK;;;
HEIDI_(ROMAN);;;
HEINRICH_JUNG_STILLINGS_JUGEND;1;95;1
HEINRICH_VON_OFTERDINGEN;1;100;5
HEITERETEI;;;
HERMANN_VON_UNNA;;;
HERR_LORENZ_STARK;;;
HERRMANN_UND_ULRIKE;;;
HERRN_DAMES_AUFZEICHNUNGEN;1;100;1
HESPERUS_ODER_45_HUNDPOSTTAGE;;;
HOEXTER_UND_CORVEY;;;
HOLLAENDISCHE_LIEBHABEREIEN;;;
HOLLINS_LIEBELEBEN;;;
HOMO_SUM;;;
HUMORISTISCHEN_SKIZZEN_AUS_DEM_DEUTSCHEN_HANDELSLEBEN;;;
HYPERION_(HOELDERLIN);1;90;5
IM_ALTEN_EISEN;;;
IM_HAUSE_DES_KOMMERZIENRATES;;;
IM_NACHBARHAUSE_LINKS;;;
IM_REICHE_DER_HOMUNKULIDEN;;;
IM_SCHLARAFFENLAND;1;100;1
IM_SIESGESKRANZE;;;
IMMENSEE;;;
IN_ST._JUERGEN;;;
INNOCENS;;;
IRRUNGEN_WIRRUNGEN;1;97.2972973;2
ISABELLA_VON_AEGYPTEN;1;92.68292683;2
ISEGRIMM;;;
JAKOB_DER_LETZTE;;;
JAKOB_VON_GUNTEN;1;100;2
JAKOBS_DES_HANDWERKSGESELLEN_WANDERUNGEN_DURCH_DIE_SCHWEIZ;;;
JENNY;;;
JUDITH,_DIE_KLUSWIRTIN;;;
JUERG_JENATSCH;;;
JULCHEN_GRUENTHAL;;;
JUNGFER_MUTTER;;;
KINDER_DER_EIFEL;;;
KINDER_DER_WELT;;;
KLEIDER_MACHEN_LEUTE;;;
KLEIN_ZACHES_GENANNT;1;95;1
KRAMBAMBULI_(ERZAEHLUNG);1;90;1
KREISLERIANA;;;
KRIMINAL-HUMORESKEN;;;
KUSS_VON_SENTZE;;;
L'ADULTERA;;;
L'ARRABIATA;1;100;1
LEBEN_DER_SCHWEDISCHEN_GRAEFIN_VON_G;1;93.15068493;1
LEBEN_DES_QUINTUS_FIXLEIN;1;90;1
LEBEN_DES_VERGNUEGTEN_SCHULMEISTERLEIN_MARIA_WUTZ_IN_AUENTHAL;;;
LEBEN_UND_TATEN_DES_BERUEHMTEN_RITTERS_SCHNAPPHAHNSKI;;;
LEBENS-ANSICHTEN_DES_KATERS_MURR;1;100;4
LEBENSGESCHICHTE_UND_NATUERLICHE_ABENTHEUER_DES_ARMEN_MANNES_IN_TOCKENBURG;;;
LEDWINA;;;
LEIB_WEIHNACHTSKUCHEN_UND_SEIN_KIND;;;
LEIDEN_UND_FREUDEN_EINES_SCHULMEISTERS;;;
LENZ_(BUECHNER);1;90;5
LEUTNANT_GUSTL;1;100;6
LIBERTAS_UND_IHRE_FREIER;;;
LICHTENSTEIN;;;
LIEBESZAUBER;;;
LIED_DER_PARZEN;;;
LIENHARD_UND_GERTRUD;;;
LOLA;;;
LOTTI,_DIE_UHRMACHERIN;1;100;1
LUCINDE;1;100;3
LYDIA;;;
MADONNA;;;
MAERCHEN_DES_LEBENS;;;
MALER_NOLTEN;1;100;1
MARIA;;;
MARION;;;
MARQUISE_VON_O;1;95;3
MARTIN_SALANDER;;;
MEIN_HERZ_(ROMAN);1;90;1
MEINE_KINDERJAHRE;;;
MEISTER_AUTOR_ODER_DIE_GESCHICHTEN_VOM_VERSUNKENEN_GARTEN;;;
MEISTER_FLOH;;;
MEISTER_MARTIN_DER_KUEFNER_UND_SEINE_GESELLEN;;;
MEISTER_TIMPE;1;100;1
MICHAEL_KOHLHAAS;1;100;2
MODERNE_LEBENSWIRREN;;;
MORALISCHEN_ERZAEHLUNGEN;;;
MOZART_AUF_DER_REISE_NACH_PRAG;1;100;2
MUENCHHAUSEN;1;86.95652174;1
NACH_DEM_GROSSEN_KRIEGE;;;
NACHTSTUECKE;;;
NACHTWACHEN;1;90;3
NESTHAEKCHEN_(KINDERBUCHREIHE);;;
