wikiname;variations;author;author_firstname;wikiID;freq;repo_title;repoID;pub_year;genre;text_source;normalised_title;best_match_student_eds;student_edition;score_student_eds;author_complete;best_match_works;works;score_works
AMANDA_UND_EDUARD;['Amanda und Eduard'];Mereau;Sophie;noWikiID;11;Amanda und Eduard;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Mereau_Sophie_Amanda_und_Eduard.xml;1803;;textgrid;amanda und eduard;»draußen vor der tür« und andere werke;0;85.5;sophie mereau;angermann, sophie;0;63.33333333
AMAZONENSCHLACHT;['Amazonenschlacht'];Janitschek;Maria;noWikiID;1;Die Amazonenschlacht;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Janitschek_Maria_Die_Amazonenschlacht.xml;1897;novel;textgrid;amazonenschlacht;oden;0;67.5;maria janitschek;freylinger, maria josepha;0;85.5
AN_HEILIGEN_WASSERN;['An heiligen Wassern'];Heer;Jakob Christoph;noWikiID;1;An heiligen Wassern;../../heer/heilwass/heilwass.html;1898;novel;Gutenberg-DE;an heiligen wassern;duineser elegien. die sonette an orpheus;0;85.5;jakob christoph heer;hiller, jakob;0;85.5
ANDREA_DELFIN;['Andrea Delfin'];Heyse;Paul;Q28054637;1;;../../heyse/delfin/delfin.html;1862;([], ['novella']);Gutenberg-DE;andrea delfin;andreas;0;83.07692308;paul heyse;heyse, paul;1;90.47619048
ANDROGYNE;['Androgyne'];Przybyszewski;Stanislaw;noWikiID;1;Androgyne;../../przybysz/androgyn/androgyn.html;1906;novel;Gutenberg-DE;androgyne;andreas hartknopf. a. hartkn. predigerjahre;0;64.28571429;stanislaw przybyszewski;stanomir, vlad;0;57.27272727
ANGELA_BORGIA;['Angela Borgia'];Meyer;Conrad Ferdinand;noWikiID;9;Angela Borgia;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Meyer_Conrad_Ferdinand_Angela_Borgia.xml;1891;novella;textgrid;angela borgia;angst;0;67.5;conrad ferdinand meyer;meyer, conrad ferdinand;1;92.88888889
ANNA;['Anna'];Schopenhauer;Adele;noWikiID;9;Anna;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Schopenhauer_Adele_Anna.xml;1845;novel;textgrid;anna;mal franz mal anna;0;90;adele schopenhauer; schondoch;0;63
ANTON_REISER;['Anton Reiser'];Moritz;Karl Philipp Moritz;Q593385;36;;../../moritz/reiser/reiser.html;1785;(['developmental novel', 'psychological novel'], ['novel']);Gutenberg-DE;anton reiser;anton reiser;1;100;karl philipp moritz moritz;moritz, karl philipp;1;92.56410256
AQUIS_SUBMERSUS;['Aquis submersus', 'In Aquis submersus'];Storm;Theodor;Q623355;9;Aquis Submersus;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Aquis_Submersus.xml;1878;novella;textgrid;aquis submersus;aquis submersus;1;100;theodor storm;storm, theodor;1;91.48148148
ARBEIT;['Arbeit'];Frapan;Ilse;noWikiID;1;Arbeit;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Frapan_Ilse_Arbeit.xml;1903;novel;textgrid;arbeit;reitergeschichte u. andere erzählungen;0;72;ilse frapan;rahnenführer, ilse;0;85.5
ARDINGHELLO;['Ardinghello'];Heinse;Wilhelm ;noWikiID;2;;../../heinse/ardinghe/ardinghe.html;1787;;Gutenberg-DE;ardinghello;ardinghello;1;100;wilhelm  heinse;heinse, wilhelm;1;91.72413793
ARDISTAN_UND_DSCHINNISTAN;['Ardistan', 'Ardistan und Dschinnistan'];May;Karl;Q639501;2;Ardistan und Dschinnistan II;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/May_Karl_Ardistan_und_Dschinnistan_II.xml;1909;novel;textgrid;ardistan und dschinnistan;»draußen vor der tür« und andere werke;0;85.5;karl may;may, karl;1;89.41176471
ARIEL'S_OFFENBARUNGEN;"[""Ariel's Offenbarungen""]";Arnim;Achim von;noWikiID;2;Ariel's Offenbarungen;../../arnim/ariel/ariel.html;1804;novel;Gutenberg-DE;ariel's offenbarungen;erzählungen;0;63.52941176;achim von arnim;arnim, achim von;1;91.93548387
ARISTIPP_UND_EINIGE_SEINER_ZEITGENOSSEN;['Aristipp und einige seiner Zeitgenossen'];Wieland;Christoph Martin;noWikiID;3;Aristipp und einige seiner Zeitgenossen;http://www.zeno.org/Literatur/M/Wieland,+Christoph+Martin/Romane/Aristipp+und+einige+seiner+Zeitgenossen;1800;novel;zeno;aristipp und einige seiner zeitgenossen;leonce und lena;0;85.5;christoph martin wieland;wieland, christoph martin;1;93.06122449
ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES;['GrÃ¤fin Dolores', 'Die GrÃ¤fin Dolores', 'Arnims Dolores', 'Arnims GrÃ¤fin Dolores'];Arnim;Achim von;Q689540;16;Armut, Reichtum, Schuld  und BuÃŸe der GrÃ¤fin Dolores;../../arnim/dolores/dolores.html;1810;([], ['novel']);Gutenberg-DE;armut, reichtum, schuld und busse der graefin dolores;der arme vetter;0;85.5;achim von arnim;arnim, achim von;1;91.93548387
ASIATISCHE_BANISE;['Asiatische Banise'];Ziegler und Kliphausen;Heinrich Anselm von;noWikiID;10;Asiatische Banise;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Ziegler_und_Kliphausen_Heinrich_Anselm_von_Asiatische_Banise.xml;1689;;textgrid;asiatische banise;sämtliche briefe;0;60.60606061;heinrich anselm von ziegler und kliphausen;von deutz>;0;85.5
ASPASIA;['Aspasia'];Hamerling;Robert;noWikiID;1;Aspasia;../../hamerlin/aspasia/aspasia.html;1875;novel;Gutenberg-DE;aspasia;der messias;0;60;robert hamerling;robert &lt;0;85.5
AUCH_EINER;['Auch Einer', 'Eine Reisebekanntschaft'];Vischer;Friedrich Theodor;Q758582;2;Auch Einer;../../vischer/aucheinr/aucheinr.html;1879;novel;Gutenberg-DE;auch einer;auch eine philosophie der geschichte …;0;85.5;friedrich theodor vischer;ranke, friedrich;0;85.5
AUF_DEM_STAATSHOF;['Auf dem Staatshof'];Storm;Theodor;noWikiID;5;Auf dem Staatshof;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Auf_dem_Staatshof.xml;1859;novella;textgrid;auf dem staatshof;aus dem leben eines taugenichts;0;85.5;theodor storm;storm, theodor;1;91.48148148
AUF_DER_UNIVERSITAET;['Auf der UniversitÃ¤t'];Storm;Theodor;Q15792139;1;Auf der UniversitÃ¤t;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Auf_der_UniversitÃ¤t.xml;1862;novella;textgrid;auf der universitaet;»draußen vor der tür« und andere werke;0;85.5;theodor storm;storm, theodor;1;91.48148148
AUF_DER_WEGWACHT;['Auf der Wegwacht'];Ertl;Emil;noWikiID;1;Auf der Wegwacht;../../ertl/wegwacht/wegwacht.html;1911;novel;Gutenberg-DE;auf der wegwacht;der mann mit den messern;0;85.5;emil ertl;schering, emil;0;85.5
AUF_ZWEI_PLANETEN;['Auf zwei Planeten'];Lasswitz;Kurd;Q4310936;1;;"../../lasswitz/auf2pl-1/auf2pl-1.html; ../../lasswitz/auf2pl-2/auf2pl-2.html";1897;(['science fiction novel'], ['novel']);Gutenberg-DE;auf zwei planeten;romeo und julia auf dem dorfe;0;85.5;kurd lasswitz;dvr-buchreihe / kollektion lasswitz;0;85.5
AUS_DEM_BOEHMERWALDE;['Aus dem BÃ¶hmerwalde'];Rank;Josef;noWikiID;1;Aus dem  BÃ¶hmerwalde;../../rankjo/boehmerw/boehmerw.html;1842;narration;Gutenberg-DE;aus dem boehmerwalde;aus dem leben eines taugenichts;0;85.5;josef rank;mense, josef hermann;0;85.5
AUS_DEM_LEBEN_EINER_FRAU;['Aus dem Leben einer Frau'];Aston;Louise;Q101323690;5;Aus dem Leben einer Frau;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Aston_Louise_Aus_dem_Leben_einer_Frau.xml;1847;([], ['novel']);textgrid;aus dem leben einer frau;leben der schwedischen gräfin von g***;0;85.5;louise aston;huish, louise adey;0;85.5
AUS_DEM_LEBEN_EINES_TAUGENICHTS;['Aus dem Leben eines Taugenichts', 'Taugenichts'];Eichendorff;Joseph von;Q777658;13;Aus dem Leben eines  Taugenichts;../../Eichendorff/taugeni/taugn001.html;1826;(['developmental novel'], ['novella']);Gutenberg-DE;aus dem leben eines taugenichts;aus dem leben eines taugenichts;1;100;joseph von eichendorff;eichendorff, joseph von;1;92.88888889
AUS_DEN_MEMOIREN_DES_HERRN_SCHNABELEWOPSKI;['Aus den Memoiren des Herrn Schnabelewopski'];Heine;Heinrich;noWikiID;1;;../../heine/schnabel/schnabel.html;1833;;Gutenberg-DE;aus den memoiren des herrn schnabelewopski;aus d. memoiren d. herrn v. schnabelewopski;1;89.41176471;heinrich heine; heine, heinrich;1;91.72413793
AUS_DER_CHRONIKA_EINES_FAHRENDEN_SCHUELERS;['Aus der Chronika des fahrenden SchÃ¼lers', 'Aus der Chronika eines fahrenden SchÃ¼lers', 'Chronika eines fahrenden SchÃ¼lers'];Brentano;Clemes;Q777681;7;Aus der Chronika  eines fahrenden SchÃ¼lers;../../brentano/chronik2/chronik2.html;1818;([], ['narration']);Gutenberg-DE;aus der chronika eines fahrenden schuelers;der arme vetter;0;85.5;clemes brentano;brentano, clemens;1;89.0625
AUS_EINER_FAMILIE;['Aus einer Familie'];Hoefer;Edmund;noWikiID;1;Aus einer Familie;../../hoefer/5familie/5familie.html;1853;novel;Gutenberg-DE;aus einer familie;aus dem leben eines taugenichts;0;85.5;edmund hoefer;licher, edmund;0;70.37037037
AUS_GUTER_FAMILIE;['Aus guter Familie'];Reuter;Gabriele;noWikiID;2;Aus guter  Familie;../../reuterga/gutfamil/gutfamil.html;1908;;Gutenberg-DE;aus guter familie;aus dem leben eines taugenichts;0;85.5;gabriele reuter;baptist-hlawatsch, gabriele;0;85.5
AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT;['Dichtung und Wahrheit', 'Aus meinem Leben'];Goethe;Johann Wolfgang von;Q569377;37;Aus meinem Leben.;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Goethe_Johann_Wolfgang_Aus_meinem_Leben.xml;1811;(['autobiography'], ['novel']);textgrid;aus meinem leben. dichtung und wahrheit;dichtung und wahrheit;1;90;johann wolfgang von goethe; goethe, johann wolfgang von;1;93.20754717
AUS_TROTZKOPFS_EHE;['Aus Trotzkopfs Ehe'];Wildenhagen;Else;noWikiID;1;Aus Trotzkopfs  Ehe;../../wildenha/trotzehe/trotzehe.html;1895;novel;Gutenberg-DE;aus trotzkopfs ehe;aus dem leben eines taugenichts;0;85.5;else wildenhagen;seel, else;0;85.5
AUSWAHL_AUS_DES_TEUFELS_PAPIEREN;['Auswahl aus des Teufels Papieren'];Paul;Jean;noWikiID;3;Auswahl aus des Teufels  Papieren;../../jeanpaul/teufel/teufel.html;1789;;Gutenberg-DE;auswahl aus des teufels papieren;tristan. auswahl;0;85.5;jean paul;jean paul;1;100
BAHNWAERTER_THIEL;['BahnwÃ¤rter Thiel'];Hauptmann;Gerhart;Q803617;10;;29376;1888;([], ['narration', 'novella']);Gutenberg-US;bahnwaerter thiel;bahnwärter thiel;1;90.90909091;gerhart hauptmann;hauptmann, gerhart;1;92.28571429
BARBAROSSA;['Barbarossa'];Heyse;Paul;noWikiID;2;Barbarossa;../../heyse/barbaros/barbaros.html;1869;novella;Gutenberg-DE;barbarossa;das urteil und andere prosa;0;51.42857143;paul heyse;heyse, paul;1;90.47619048
BEATRICE;['Beatrice'];Heyse;Paul;noWikiID;1;Beatrice;../../heyse/beatric/beatric.html;1867;novella;Gutenberg-DE;beatrice;götz von berlichingen;0;61.07142857;paul heyse;heyse, paul;1;90.47619048
BEBUQUIN;['Bebuquin oder Die Dilettanten des Wunders'];Einstein;Carl;Q30134038;3;epub;https://in-transit.cc/buecher/aktualisiert-carl-einstein-bebuquin;1912;(['prose'], ['novel']);epub;bebuquin;bebuquin;1;100;carl einstein;einstein, carl;1;91.48148148
BELPHEGOR;['Belphegor'];Wezel;Johann Karl;noWikiID;6;Belphegor;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Wezel_Johann_Karl_Belphegor.xml;1776;novel;textgrid;belphegor;der struwwelpeter;0;56.25;johann karl wezel;wezel, johann carl;1;86.85714286
BILDER_UND_GESCHICHTEN_AUS_SCHWABEN;['Bilder und Geschichten aus dem schwÃ¤bischen Leben'];Wildermuth;Ottilie;Q15788617;1;;http://www.zeno.org/Literatur/M/Wildermuth,+Ottilie/Erz%C3%A4hlungen/Bilder+und+Geschichten+aus+Schwaben;1847;collection of stories;zeno;bilder und geschichten aus schwaben;leonce und lena;0;85.5;ottilie wildermuth;ott, wilhelm;0;60
BLUMEN;['Blumen'];Schnitzler;Arthur;noWikiID;7;Blumen;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Schnitzler_Arthur_Blumen.xml;1894;novella;textgrid;blumen;schlimme buben i. d. schule. frühere verh;0;62.18181818;arthur schnitzler;schnitzler, arthur;1;92.28571429
BOZENA;['Bozena'];Ebner-Eschenbach;Marie von;noWikiID;3;Bozena;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Ebner_Eschenbach_Marie_von_BoÅ¾ena.xml;1876;novella;textgrid;bozena;oden;0;67.5;marie von ebner-eschenbach;ebner-eschenbach, marie von;1;93.20754717
BRIEFE_EINES_NARREN_UND_EINER_NAERRIN;['Briefe eines Narren und einer NÃ¤rrin'];Gutzkow;Karl;noWikiID;3;Briefe eines Narren an  eine NÃ¤rrin;../../gutzkow/narrbrf/narrbrf.html;1832;novel;Gutenberg-DE;briefe eines narren und einer naerrin;die briefe;0;85.5;karl gutzkow;gutzkow, karl;1;91.2
BRIGITTA_(STIFTER);['Brigitta'];Stifter;Adalbert;Q539511;3;Brigitta;../../stifter/brigitta/brigitta.html;1847;([], ['novel']);Gutenberg-DE;brigitta (stifter);brigitta;1;90;adalbert stifter;stifter, adalbert;1;92.12121212
BUDDENBROOKS;['Thomas Buddenbrook', 'Buddenbrooks'];Mann;Thomas;Q326909;15;;34811;1901;(['family saga novel', 'period novel', 'Bildungsroman', 'social problem fiction', 'saga', 'roman Ã  clef'], ['novel']);Gutenberg-US;buddenbrooks;oden;0;67.5;thomas mann; mann, thomas;1;90.86956522
BULEMANNS_HAUS;['Bulemanns Haus'];Storm;Theodor;Q1003556;1;;http://www.zeno.org/Literatur/M/Storm,+Theodor/M%C3%A4rchen+und+Spukgeschichten/Bulemanns+Haus;1864;novella;zeno;bulemanns haus;faust;0;67.5;theodor storm;storm, theodor;1;91.48148148
BUNTE_STEINE;['Bunte Steine', 'Bunten Steine'];Stifter;Adalbert;Q1009887;22;Bunte Steine;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Stifter_Adalbert_Bunte_Steine.xml;1853;([], ['short story']);textgrid;bunte steine;bunte steine;1;100;adalbert stifter;stifter, adalbert;1;92.12121212
CÉCILE;['CÃ©cile'];Fontane;Theodor;noWikiID;4;CÃ©cile;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Fontane_Theodor_CÃ©cile.xml;1886;novel;textgrid;cécile;cécile;1;100;theodor fontane; fontane, theodor;1;91.93548387
CABANIS;['Cabanis'];Alexis;Willibald;noWikiID;4;Cabanis;../../alexis/cabanis/cabanis.html;1830;;Gutenberg-DE;cabanis;die bürger von calais;0;69.23076923;willibald alexis;wietfeldt, williard james;0;66
CARSTEN_CURATOR;['Carsten Curator'];Storm;Theodor;Q1045516;2;;../../storm/curator/curator.html;1878;novella;Gutenberg-DE;carsten curator;sterbender cato;0;60;theodor storm;storm, theodor;1;91.48148148
CHRISTA_RUHLAND;['Christa Ruhland'];Dohm;Hedwig;noWikiID;1;Christa Ruland;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Dohm_Hedwig_Christa_Ruland.xml;1902;novel;textgrid;christa ruhland;tristan;0;64.28571429;hedwig dohm;junker, hedwig;0;67.05882353
CLEMENTINE;['Clementine'];Lewald;Fanny;noWikiID;1;Clementine;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Lewald_Fanny_Clementine.xml;1843;novel;textgrid;clementine;stine;0;80;fanny lewald;feldtmann, waldtraut;0;60
DAPHNIS;['Daphnis'];Gessner;Salomon;noWikiID;3;Daphnis;../../gessner/daphnis/daphnis.html;1854;narrative;Gutenberg-DE;daphnis;autobiographische schriften;0;64.28571429;salomon gessner;geßner, salomon;0;82.33333333
DAS_ALTE_HAUS;['Das alte Haus'];Seidel;Heinrich;noWikiID;1;Das alte Haus;../../seidelh/altehaus/altehaus.html;1887;([], ['short story']);Gutenberg-DE;das alte haus;godwi oder das steinerne bild der mutter;0;85.5;heinrich seidel;leopoldi, hans heinrich;0;85.5
DAS_AMULETT;['Das Amulett', 'Das Amulett)8'];Meyer;Conrad Ferdinand;Q1167148;16;Das Amulett;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Meyer_Conrad_Ferdinand_Das_Amulett.xml;1873;novella;textgrid;das amulett;das amulett;1;100;conrad ferdinand meyer;meyer, conrad ferdinand;1;92.88888889
DAS_BLUETHENALTER_DER_EMPFINDUNG;['Das BlÃ¼thenalter der Empfindung'];Mereau;Sophie;noWikiID;3;Das BlÃ¼thenalter der Empfindung;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Mereau_Sophie_Das_BlÃ¼thenalter_der_Empfindung.xml;1794;;textgrid;das bluethenalter der empfindung;der arme vetter;0;85.5;sophie mereau;angermann, sophie;0;63.33333333
DAS_BUCH_LE_GRAND;['Das Buch Le Grand'];Heine;Heinrich;noWikiID;2;Das Buch Le Grand;../../heine/legrand/legrand.html;1827;narration;Gutenberg-DE;das buch le grand;ideen. das buch le grand;1;95;heinrich heine; heine, heinrich;1;91.72413793
DAS_DUELL;['Das Duell'];Wichert;Ernst;noWikiID;1;Das Duell;../../wichert/duell/duell.html;1900;narration;Gutenberg-DE;das duell;das narrenschiff;0;85.5;ernst wichert;wichert, ernst;1;91.48148148
DAS_ERDBEBEN_IN_CHILI;['Das Erdbeben in Chili', 'Erdbeben in Chili'];Kleist;Heinrich von;Q1167748;4;Das Erdbeben in Chili;../../kleist/erdbeben/chili.html;1807;([], ['short story']);Gutenberg-DE;das erdbeben in chili;die marquise von o… das erdbeben in chili;1;90;heinrich von kleist; kleist, heinrich von;1;92.56410256
DAS_ERDBEERIMAREILI;['Das Erdbeerimareili'];Gotthelf;Jeremias;noWikiID;1;Das Erdbeerimareili;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Gotthelf_Jeremias_Das_Erdbeerimareili.xml;1851;narration;textgrid;das erdbeerimareili;godwi oder das steinerne bild der mutter;0;85.5;jeremias gotthelf;gotthelf, jeremias;1;92.28571429
DAS_FRAEULEIN_VON_SCUDERI;['Das FrÃ¤ulein von Scuderi'];Hoffmann;E. T. A;Q358642;7;Das FrÃ¤ulein von  Scuderi;../../Hoffmann/scuderi/index.html;1819;(['crime fiction'], ['novella']);Gutenberg-DE;das fraeulein von scuderi;das fräulein von scuderi;1;93.87755102;e. t. a hoffmann;hoffmann, e. t. a.;1;89.41176471
DAS_GEHEIMNIS_DER_ALTEN_MAMSELL;['Das Geheimnis der alten Mamsell'];Marlitt;Eugenie;noWikiID;2;Das Geheimnis der alten Mamsell;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Marlitt_Eugenie_Das_Geheimnis_der_alten_Mamsell.xml;1868;novel;textgrid;das geheimnis der alten mamsell;der arme vetter;0;85.5;eugenie marlitt;engelmann, margit;0;62.5
DAS_GEHEIMNISS_DES_KOSMOPOLITEN-ORDENS;['Das GeheimniÃŸ des Kosmopoliten-Ordens'];Wieland;Christoph Martin;noWikiID;2;Das GeheimniÃŸ  des Kosmopoliten-Ordens;../../wieland/kosmopol/kosmopol.html;1788;narration;Gutenberg-DE;das geheimniss des kosmopoliten-ordens;das narrenschiff;0;85.5;christoph martin wieland;wieland, christoph martin;1;93.06122449
DAS_GEMEINDEKIND;['Das Gemeindekind'];Ebner-Eschenbach;Marie von;Q1168304;3;Das Gemeindekind;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Ebner_Eschenbach_Marie_von_Das_Gemeindekind.xml;1887;(['social criticism'], ['prose', 'novel']);textgrid;das gemeindekind;das gemeindekind;1;100;marie von ebner-eschenbach;ebner-eschenbach, marie von;1;93.20754717
DAS_GESPENST;['Das Gespenst'];Nordhausen;Richard;noWikiID;3;Das Gespenst;../../nordhaus/gespenst/gespenst.html;1896;novella;Gutenberg-DE;das gespenst;godwi oder das steinerne bild der mutter;0;85.5;richard nordhausen;seelisch, richard mitwirkender];0;85.5
DAS_GLUECK;['Das GlÃ¼ck'];Laube;Heinrich;Q3209153;1;Das GlÃ¼ck;../../laube/glueck/glueck.html;1887;([], ['short story']);Gutenberg-DE;das glueck;das narrenschiff;0;85.5;heinrich laube;laube, heinrich;1;91.72413793
DAS_GOLDMACHERDORF;['Das Goldmacherdorf'];Zschokke;Heinrich;Q114357971;2;Das  Goldmacherdorf;../../zschokke/goldmach/goldmach.html;1817;(['novel'], []);Gutenberg-DE;das goldmacherdorf;godwi oder das steinerne bild der mutter;0;85.5;heinrich zschokke;wagner, heinrich mitwirkender];0;85.5
DAS_HEIMWEH;['Das Heimweh'];Mosen;Julius;Q1168923;1;Das Heimweh;../../mosen/heimweh/heimweh.html;1794;novel;Gutenberg-DE;das heimweh;godwi oder das steinerne bild der mutter;0;85.5;julius mosen;hartmann, otto julius;0;85.5
DAS_HEXAMERON_VON_ROSENHAIN;['Das Hexameron von Rosenhain'];Wieland;Christoph Martin;noWikiID;1;Das Hexameron von  Rosenhain;../../wieland/rosnhain/rosnhain.html;1803;collection of stories;Gutenberg-DE;das hexameron von rosenhain;das narrenschiff;0;85.5;christoph martin wieland;wieland, christoph martin;1;93.06122449
DAS_HOELZERNE_BEIN;['Das hÃ¶lzerne Bein'];Gessner;Salomon;noWikiID;2;Das hÃ¶lzerne  Bein;../../gessner/holzbein/holzbein.html;1759;prose;Gutenberg-DE;das hoelzerne bein;godwi oder das steinerne bild der mutter;0;85.5;salomon gessner;geßner, salomon;0;82.33333333
DAS_JUDENGRAB;['Das Judengrab'];Huch;Ricarda;Q18411268;1;;33827;1905;narrative;Gutenberg-US;das judengrab;godwi oder das steinerne bild der mutter;0;85.5;ricarda huch;huch, ricarda;1;91.2
