"louvain","louvain group","id"
"14","","EXAMINER_noWikiID"
"0","","FAITH_HEALER_Q5431193"
"0","","FAR_FROM_THE_MADDING_CROWD_Q5642996"
"7","","FATHER_AND_SON_noWikiID"
"17","","FAULKLAND_noWikiID"
"11","","FEARS_IN_SOLITUDE_noWikiID"
"1","","FELIX_HOLT_THE_RADICAL_Q5442230"
"0","","FERGUS_noWikiID"
"2","","FINGAL_noWikiID"
"1","","FINGERSMITH_(NOVEL)_Q2756027"
"6","","FINNEGANS_WAKE_Q6507"
"1","","FLORENCE_MACARTHY_noWikiID"
"14","","FORTNIGHTLY_REVIEW_noWikiID"
"0","","FORTUNES_OF_WAR_(NOVEL_SERIES)_Q5472900"
"44","","FOUR_QUARTETS_Q2468448"
"19","","FRA_FILIPPO_LIPPI_noWikiID"
"1","","FRANKENSTEIN_Q150827"
"14","","FRASER'S_MAGAZINE_noWikiID"
"7","","FRIENDSHIP_IN_DEATH_noWikiID"
"11","","FROST_noWikiID"
"21","","FUGE_noWikiID"
"0","","FUN_HOME_Q428680"
"0","","GAUDY_NIGHT_Q2464821"
"18","","GHOSTS_(PLAY)_Q1434818"
"1","","GLENARVON_Q3771960"
"3","","GOBLIN_MARKET_noWikiID"
"12","","GOODBYE_TO_ALL_THAT_Q2356106"
"4","","GORDON_noWikiID"
"66","","GRACE_ABOUNDING_TO_THE_CHIEF_OF_SINNERS_Q2316733"
"8","","GREAT_EXPECTATIONS_Q219552"
"0","","GREENMANTLE_Q5604315"
"10","","GULLIVER'S_TRAVELS_Q181488"
"85","","GUY_MANNERING_Q2288976"
"3","","HAIL_AND_FAREWELL_noWikiID"
"72","","HAMLET_Q41567"
"8","","HARD_TIMES_(NOVEL)_Q1340493"
"7","","HARD_TIMES_noWikiID"
"9","","HARPER'S_WEEKLY_noWikiID"
"21","","HARRIETT_FREAN_noWikiID"
"9","","HARRY_POTTER_noWikiID"
"15","","HE_KNEW_HE_WAS_RIGHT_noWikiID"
"12","","HEART_OF_DARKNESS_Q129778"
"4","","HELEN_FLEETWOOD_noWikiID"
"2","","HISTORICAL_MEMOIRS_OF_THE_IRISH_BARDS_noWikiID"
"30","","HISTORY_OF_ENGLAND_noWikiID"
"38","","HISTORY_OF_THE_DECLINE_AND_FALL_OF_THE_ROMAN_EMPIRE_noWikiID"
"4","","HISTORY_OF_THE_PEACE_noWikiID"
"0","","HOLIDAY_HOUSE_noWikiID"
"14","","HOUSEHOLD_WORDS_noWikiID"
"9","","HOW_LATE_IT_WAS_HOW_LATE_Q2076441"
"12","","HOWARDS_END_Q1146642"
"14","","HOWITT'S_JOURNAL_noWikiID"
"11","","HYPERION_Q1190094"
"4","","IDLER_noWikiID"
"21","","IL_PENSEROSO_Q1658233"
"1","","ILIAD_Q8275"
"20","","IN_MEMORIAM_noWikiID"
"3","","IN_SEARCH_OF_LOST_TIME_Q464928"
"12","","IN_THE_CASTLE_OF_MY_SKIN_Q23307454"
"15","","IN_THE_SHADOW_OF_THE_GLEN_Q6012877"
"16","","IRISH_FAIRY_TALES_Q6070722"
"11","","ISABELLA,_OR_THE_POT_OF_BASIL_noWikiID"
"4","","IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL)_Q6091852"
"1","","IVANHOE_Q840974"
"1","","JACK_SHEPPARD_noWikiID"
"15","","JACK_THE_GIANT_KILLER_Q3157362"
"6","","JACOB'S_ROOM_Q1677745"
"6","","JAMES_JOYCE_noWikiID"
"8","","JANE_EYRE_Q182961"
"7","","JEKYLL_AND_HYDE_noWikiID"
"0","","JEREMIAD_noWikiID"
"2","","JERUSALEM_DELIVERED_Q1053313"
"21","","JERUSALEM_noWikiID"
"15","","JESSICA'S_FIRST_PRAYER_noWikiID"
"15","","JOHN_HALIFAX_GENTLEMAN_Q6237289"
"13","","JOLAS_noWikiID"
"15","","JOURNEY'S_END_Q12833234"
"7","","JOURNEY_TO_THE_BORDER_noWikiID"
"8","","JUDE_THE_OBSCURE_Q1248773"
"15","","JUDITH_(POEM)_Q1157209"
"1","","JULIA_DE_ROUBIGNE_noWikiID"
"10","","JULIE;_OR_THE_NEW_HELOISE_Q129289"
"15","","JULIUS_CAESAR_noWikiID"
"15","","JUNO_AND_THE_PAYCOCK_Q14689155"
"13","","KIBERD_noWikiID"
"1","","KIDNAPPED_(NOVEL)_Q2349094"
"39","","KILMARNOCK_noWikiID"
"12","","KIM_(NOVEL)_Q589868"
"59","","KING_LEAR_Q181598"
"22","","KING_SOLOMON'S_MINES_Q1137494"
"7","","KIPPS_Q1249082"
"0","","KNOCKNAGOW_noWikiID"
"11","","KUBLA_KHAN_noWikiID"
"5","","LA_FONTAINE'S_FABLES_Q2748292"
"5","","LADY'S_MAGAZINE_noWikiID"
"8","","LADY_AUDLEY'S_SECRET_Q2738351"
"17","","LADY_AUDLEY_noWikiID"
"7","","LADY_CHATTERLEY'S_LOVER_Q750670"
"15","","LADY_WINDERMERE'S_FAN_Q1469224"
"54","","LAIDLAW_(NOVEL)_Q6473776"
"1","","LALLA_ROOKH_Q4253416"
"3","","LANARK:_A_LIFE_IN_FOUR_BOOKS_Q6482902"
"0","","LAST_DAYS_(NEVILL_NOVEL)_Q18209080"
"0","","LAYS_OF_MANY_LANDS_noWikiID"
"2","","LE_MORTE_D'ARTHUR_Q1136104"
"9","","LEBOR_GABÁLA_ÉRENN_Q374129"
"4","","LEFT_REVIEW_noWikiID"
"5","","LESSONS_FOR_CHILDREN_Q3004469"
"1","","LETTERS_noWikiID"
"1","","LETTERS_OF_A_HINDOO_RAJAH_noWikiID"
"16","","LETTERS_ON_CHIVALRY_AND_ROMANCE_noWikiID"
"7","","LIATHÁIN_noWikiID"
"1","","LIFE_IN_LONDON_(NOVEL)_Q108208589"
"15","","LIFE_noWikiID"
"9","","LIFE_OF_SAINT_COLUMBA_noWikiID"
"43","","LIFE_OF_SAMUEL_JOHNSON_Q1218644"
"4","","LITERARY_MAGAZINE_noWikiID"
"5","","LITERATURE_AT_NURSE;_OR_CIRCULATING_MORALS_noWikiID"
"8","","LITTLE_DORRIT_Q565638"
"11","","LITTLE_GIDDING_noWikiID"
"9","","LITTLE_WOMEN_Q523076"
"9","","LIVES_AND_CHARACTERS_OF_THE_MOST_EMINENT_WRITERS_OF_THE_SCOTS_NATION_noWikiID"
"5","","LIVES_OF_THE_MOST_EMINENT_ENGLISH_POETS_Q4015014"
"9","","LONDON_LABOUR_AND_THE_LONDON_POOR_Q1217731"
"2","","LONDON_noWikiID"
"14","","LONGMAN'S_MAGAZINE_noWikiID"
"11","","LONGMAN_ANTHOLOGY_noWikiID"
"18","","LOOK_BACK_IN_ANGER_Q884005"
"15","","LOVE_AND_A_BOTTLE_Q104853539"
"7","","LOVE_IN_EXCESS;_OR_THE_FATAL_ENQUIRY_Q1588738"
"7","","LOVE_INTRIGUES_noWikiID"
"17","","LOVE_noWikiID"
"20","","LYRICAL_BALLADS_Q738958"
"39","","LYRICAL_TALES_noWikiID"
"11","","MAC_AMHLAIGH_noWikiID"
"86","","MACBETH_noWikiID"
"64","","MACFLECKNOE_noWikiID"
"1","","MADAME_BOVARY_Q193417"
"17","","MADAME_DE_LA_ROUGIERRE_noWikiID"
"16","","MADOC_noWikiID"
"42","","MAGINN_noWikiID"
"12","","MALONE_DIES_Q540991"
"18","","MAN_AND_SUPERMAN_Q725409"
"13","","MANDEVILLE_noWikiID"
"11","","MANFRED_Q1889169"
"10","","MANSFIELD_PARK_Q469690"
"10","","MARIA:_OR_THE_WRONGS_OF_WOMAN_Q890170"
"11","","MARIANA_noWikiID"
"2","","MARINO_FALIERO_DOGE_OF_VENICE_Q15624495"
"19","","MARIUS_THE_EPICUREAN_Q5477441"
"1","","MARTIN_CHUZZLEWIT_Q1903609"
"0","","MARY:_A_FICTION_Q2900963"
"8","","MARY_BARTON_Q2607078"
"7","","MARY_noWikiID"
"7","","MARY_OLIVIER:_A_LIFE_noWikiID"
"6","","MARY_OLIVIER_noWikiID"
"11","","MAUD_AND_OTHER_POEMS_Q6792271"
"5","","MAUS_Q59696"
"11","","MELANCHOLY_noWikiID"
"1","","MELMOTH_THE_WANDERER_Q1475956"
"4","","MEMOIRS_OF_A_CAVALIER_Q6815274"
"10","","MEMOIRS_OF_EMMA_COURTNEY_Q2395365"
"1","","MEMOIRS_OF_MODERN_PHILOSOPHERS_Q6815268"
"15","","MEMOIRS_OF_THE_AUTHOR_OF_A_VINDICATION_OF_THE_RIGHTS_OF_WOMAN_Q933002"
"3","","MEN_AND_WOMEN_noWikiID"
"5","","MERCIAN_HYMNS_noWikiID"
"1","","MICHAEL_ARMSTRONG_noWikiID"
"11","","MICHAEL_noWikiID"
"6","","MIDDLEMARCH_Q313129"
"12","","MIDNIGHT'S_CHILDREN_Q625764"
"12","","MIGUEL_STREET_Q6844813"
"1","","MINSTRELSY_OF_THE_SCOTTISH_BORDER_Q7751599"
"12","","MINTY_ALLEY_Q6869700"
"5","","MISCELLANY_POEMS_noWikiID"
"7","","MISS_BRILL_Q16387034"
"0","","MISTER_JOHNSON_Q16387051"
"6","","MODERN_FICTION_(ESSAY)_Q16387059"
"2","","MODERN_PAINTERS_Q6888803"
"12","","MODERNISM_noWikiID"
"10","","MOLL_FLANDERS_Q612523"
"12","","MOLLOY_(NOVEL)_Q1971806"
"14","","MONTHLY_MAGAZINE_noWikiID"
"1","","MORAL_TALES_noWikiID"
"6","","MRS_DALLOWAY_Q752584"
"18","","MRS_WARREN'S_PROFESSION_Q955587"
"4","","MUDIE'S_CIRCULATING_LIBRARY_noWikiID"
"2","","MY_APPRENTICESHIP_noWikiID"
"0","","MY_LAST_DUCHESS_Q2465048"
"4","","MY_LEFT_FOOT_(BOOK)_Q12811892"
"0","","MÁIRÍN_NIC_EOIN_noWikiID"
"12","","NEVER_LET_ME_GO_noWikiID"
"1","","NEW_GRUB_STREET_noWikiID"
"5","","NEW_LINES_noWikiID"
"14","","NEW_MONTHLY_MAGAZINE_noWikiID"
"0","","NEWS_FROM_NOWHERE_Q7019506"
"7","","NIGHT_AND_DAY_Q1610831"
"1","","NIGHTMARE_ABBEY_Q4054406"
"8","","NO_NAME_(NOVEL)_Q7044605"
"1","","NOCTES_AMBROSIANAE_Q7046415"
"8","","NORTH_AND_SOUTH_(GASKELL_NOVEL)_Q1853142"
"70","","NORTH_AND_SOUTH_noWikiID"
"10","","NORTHANGER_ABBEY_Q477508"
"21","","NORTON_ANTHOLOGY_noWikiID"
"0","","NOSTROMO_Q430248"
"9","","NÍ_DHOMHNAILL_noWikiID"
"1","","O'DONNEL_noWikiID"
"4","","O'DONNELL_noWikiID"
"7","","OBSERVE_THE_SONS_OF_ULSTER_MARCHING_TOWARDS_THE_SOMME_Q7075477"
"21","","ODE_ON_MELANCHOLY_noWikiID"
"11","","ODE_TO_A_NIGHTINGALE_Q3349126"
"11","","ODE_TO_THE_WEST_WIND_Q3880836"
"1","","ODYSSEY_Q35160"
