louvain;id_A;betweenness;Source
1;2089;24398;DER_AUFRUHR_IN_DEN_CEVENNEN_Q1192283
1;2090;6104;LEBEN_DER_SCHWEDISCHEN_GRÄFIN_VON_G***_noWikiID
1;2120;0;ARNIM_noWikiID
1;2121;6104;BRENTANO_noWikiID
1;2176;18304;LEBEN_UND_TODE_DER_HEILIGEN_GENOVEVA_noWikiID
1;2222;0;ROBINSON_CRUSOE_Q483034
1;2223;6104;DIE_EHRE_noWikiID
1;2321;235912;DIE_VERKEHRTE_WELT_noWikiID
1;2322;0;GENOVEVA_noWikiID
1;2329;0;DER_GESTIEFELTE_KATER_noWikiID
1;2356;0;AUGUST_WILHELM_VON_PREUSSEN_(1722–1758)_Q213658
1;2437;0;LEBENS-ANSICHTEN_DES_KATERS_MURR_Q1314475
1;2438;6104;DIE_ELIXIERE_DES_TEUFELS_Q600849
1;2445;353928;ABRAHAM_GOTTHELF_KÄSTNER_noWikiID
1;245;0;JAMES_MACPHERSON_Q312562
1;246;312306;LUDWIG_UHLAND_noWikiID
1;2495;0;HALLER_noWikiID
1;2621;66944;DER_WINTERGARTEN_noWikiID
1;2622;0;DIE_DEUTSCHEN_VOLKSBÜCHER_(KARL_SIMROCK)_Q1218033
1;2668;12204;EISGANG_noWikiID
1;2774;0;BETTINA_VON_ARNIM_Q57236
1;2834;0;PSALMEN_noWikiID
1;2837;30488;ZIMMERMANN_noWikiID
1;2838;0;CLAUDIUS_Q1411
1;2864;0;PARADISE_LOST_noWikiID
1;2919;6104;FRANZ_STERNBALDS_WANDERUNGEN_Q1449176
1;2920;0;HERZENSERGIESSUNGEN_EINES_KUNSTLIEBENDEN_KLOSTERBRUDERS_Q1615113
1;2942;0;GEORG_PHILIPP_HARSDÖRFFER_Q66605
1;2980;0;ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRÄFIN_DOLORES_Q689540
1;3;12206;PONCE_DE_LEON_(BRENTANO)_Q2103486
1;327;36564;CHARLOTTE_VON_STEIN_Q64201
1;328;442670;CHRISTIAN_FELIX_WEISSE_Q68815
1;329;30488;SOPHIE_MEREAU_Q66313
1;378;0;KAROLINE_VON_GÜNDERRODE_Q62053
1;379;18304;CAROLINE_SCHELLING_Q63928
1;4;18300;GUSTAV_WASA_(BRENTANO)_Q1556511
1;5;0;GODWI_Q1533941
1;6;0;HALLE_UND_JERUSALEM._STUDENTENSPIEL_UND_PILGERABENTEUER_Q52770625
1;694;6104;AUGUST_WILHELM_IFFLAND_Q215115
1;695;36580;LUDWIG_GANGHOFER_Q77475
1;696;0;FISCHER_noWikiID
1;71;12206;ELEKTRA_(SOPHOKLES)_Q733444
1;72;18300;DIE_AHNFRAU_Q1210952
1;73;0;DON_QUIJOTE_Q480
1;74;0;PROMETHEUS_(HYMNE)_Q2112787
1;751;0;HALLE_UND_JERUSALEM_Q52770625
1;752;18306;DIE_PÄPSTIN_JOHANNA_noWikiID
1;789;12206;ACHIM_VON_ARNIM_Q70988
1;790;0;CLEMENS_BRENTANO_Q57235
1;791;0;DES_KNABEN_WUNDERHORN_Q140453
1;924;0;DIE_KRONENWÄCHTER_Q1214104
2;10;12204;DAS_VIERTE_GEBOT_(ANZENGRUBER)_Q1171707
2;11;30480;GEORG_HERWEGH_Q57945
2;1224;18304;HELLA_WUOLIJOKI_Q465937
2;1243;0;ERNST_VON_WILDENBRUCH_Q45337
2;1340;24402;NANA_noWikiID
2;1341;73094;WER_IST_DER_STÄRKERE_noWikiID
2;1342;6104;FRANZISKA_LINKERHAND_Q1450159
2;1343;0;WOLFRAM_VON_ESCHENBACH_Q18821
2;1344;0;GESPENSTER_(IBSEN)_Q1434818
2;1375;12206;MUSIL_noWikiID
2;1376;0;KAFKA_noWikiID
2;1377;18300;JOYCE_noWikiID
2;1378;0;GOTTFRIED_BENN_Q57277
2;1379;0;MEISTER_OELZE_Q1352330
2;1380;343942;WEBER_noWikiID
2;1479;0;ERNST_HAECKEL_noWikiID
2;1480;6104;ALBERTIS_noWikiID
2;1592;6104;LEW_NIKOLAJEWITSCH_TOLSTOI_Q7243
2;1593;0;HENRIK_IBSEN_Q36661
2;1617;24392;PUNTILA_noWikiID
2;1618;0;RUTH_BERLAU_Q72129
2;1673;0;DER_FREIGEIST_(LESSING)_Q51386027
2;1970;42656;ERNST_BLOCH_noWikiID
2;1971;54808;JOHANN_ADOLF_SCHLEGEL_Q70415
2;1972;0;MUSILS_noWikiID
2;1994;6104;LUDWIG_ANZENGRUBER_Q93718
2;1995;0;MARIE_VON_EBNER-ESCHENBACH_Q93525
2;2013;0;ROBERT_PRUTZ_noWikiID
2;2072;0;EINSAME_MENSCHEN_Q6028575
2;2073;12206;DAS_FRIEDENSFEST_Q27978335
2;220;0;MANN_noWikiID
2;221;30488;BROCH_noWikiID
2;2404;0;PANDAEMONIUM_GERMANICUM_Q2049260
2;2405;0;JACOB_BIDERMANN_Q71316
2;2406;0;DER_KAMPF_UMS_DASEIN_noWikiID
2;2407;0;MARY_SHELLEY_Q47152
2;2484;0;KARL_GUTZKOW_Q76755
2;2485;24398;FERDINAND_FREILIGRATH_Q213719
2;2529;18300;FELIX_HOLLAENDER_Q87473
