wikiname;syllabi;score_syllabi;freq_y;
RECORDS_OF_A_GIRLHOOD;;;;
RED_POTTAGE;;;;
REDGAUNTLET;;;;
RINGAN_GILHAIZE;;;;
ROB_ROY;;;;
ROBERT_ELSMERE;;;;
ROBERT_FALCONER;;;;
ROBINSON_CRUSOE;1;100;7;
ROMOLA;;;;
ROOKWOOD_(NOVEL);;;;
ROXANA;1;92.30769231;1;
RUJUB_THE_JUGGLER;;;;
RUTH;;;;
SAINT_RONAN'S_WELL;;;;
SALEM_CHAPEL;;;;
SANDERS_OF_THE_RIVER;;;;
SANDITON;;;;
SARTOR_RESARTUS;1;100;4;
SCENES_OF_CLERICAL_LIFE;;;;
SECRESY;;;;
SELF-CONTROL_(NOVEL);;;;
SENSE_AND_SENSIBILITY;1;100;2;
SENTIMENTAL_TOMMY;;;;
SEVEN_LITTLE_AUSTRALIANS;;;;
SHE_A_HISTORY_OF_ADVENTURE;;;;
SHIRLEY_(NOVEL);1;90;1;
SILAS_MARNER;1;100;1;
SING_A_SONG_OF_SIXPENCE;;;;
SIR_GIBBIE;;;;
SIR_NIGEL;;;;
SKETCHES_BY_BOZ;;;;
SOME_EXPERIENCES_OF_AN_IRISH_R.M.;;;;
SON_OF_MARS;;;;
SONS_AND_LOVERS;1;100;5;
SPIES_OF_THE_KAISER;;;;
ST_IVES;;;;
ST_LEON;;;;
ST_MARTIN'S_EVE;;;;
STALKY_&_CO.;;;;
STELLA_MARIS;;;;
STORIES_OF_RED_HANRAHAN;;;;
SUNRISE;;;;
SUSPIRIA_DE_PROFUNDIS;;;;
SYBIL;1;100;2;
SYLVIAS_LOVERS;;;;
SYLVIE_AND_BRUNO;;;;
TALE_OF_TWO_BAD_MICE;;;;
TALES_FROM_SHAKESPEARE;1;100;1;
TALES_OF_FASHIONABLE_LIFE;;;;
TALES_OF_MEAN_STREETS;;;;
TALES_OF_UNREST;;;;
TANCRED_(NOVEL);;;;
TESS_OF_THE_D'URBERVILLES;1;100;7;
THE_ABBOT;;;;
THE_ABSENTEE;;;;
THE_ADVENTURES_OF_A_BROWNIE;;;;
THE_ADVENTURES_OF_ANTHONY_VARNISH;;;;
THE_ADVENTURES_OF_DAVID_SIMPLE;1;90;1;
THE_ADVENTURES_OF_HAJJI_BABA;;;;
THE_ADVENTURES_OF_HUGH_TREVOR;;;;
THE_ADVENTURES_OF_PEREGRINE_PICKLE;;;;
THE_ADVENTURES_OF_RIVELLA;;;;
THE_ADVENTURES_OF_RODERICK_RANDOM;;;;
THE_ADVENTURES_OF_SHERLOCK_HOLMES;;;;
THE_ALTAR_OF_THE_DEAD;;;;
THE_AMBASSADORS;;;;
THE_AMERICAN;;;;
THE_ANTI-PAMELA;;;;
THE_ANTIQUARY;;;;
THE_ASPERN_PAPERS;;;;
THE_AUTOBIOGRAPHY_OF_MARK_RUTHERFORD;;;;
THE_AWKWARD_AGE;;;;
THE_AYRSHIRE_LEGATEES;;;;
THE_BATTLE_OF_DORKING;;;;
THE_BATTLE_OF_THE_BOOKS;;;;
THE_BEACH_OF_FALESA;;;;
THE_BEETLE_(NOVEL);;;;
THE_BETH_BOOK;;;;
THE_BICKERSTAFF_PAPERS;;;;
THE_BLACK_ARROW;;;;
THE_BLACK_DWARF;;;;
THE_BLACK_PROPHET;;;;
THE_BODY-SNATCHER;;;;
THE_BOOK_OF_WONDER;;;;
THE_BRIDE_OF_LAMMERMOOR;;;;
THE_BRITISH_BARBARIANS;;;;
THE_BROWNIE_OF_BODSBECK;;;;
THE_CANTERVILLE_GHOST;;;;
THE_CARVED_LIONS;;;;
THE_CASTLE_OF_OTRANTO;1;100;7;
THE_CASTLE_OF_WOLFENBACH;1;100;1;
THE_CASTLES_OF_ATHLIN_AND_DUNBAYNE;;;;
THE_CAXTONS;;;;
THE_CHANGELING;;;;
THE_CHANNINGS_(NOVEL);;;;
THE_CHILDREN_OF_THE_ABBEY;;;;
THE_CHILDREN_OF_THE_NEW_FOREST;;;;
THE_CHIMES;;;;
THE_CLAYHANGER;;;;
THE_CLEVER_WOMAN_OF_THE_FAMILY;;;;
THE_CLOISTER_AND_THE_HEARTH;;;;
THE_COMING_OF_CUCULAIN;;;;
THE_CONFESSIONS_OF_HARRY_LORREQUER;;;;
THE_CONSOLIDATOR;;;;
THE_COUNTRY_OF_THE_BLIND;;;;
THE_CRICKET_ON_THE_HEARTH;;;;
THE_CROCK_OF_GOLD_(NOVEL);;;;
THE_CROWN_OF_SUCCESS;;;;
THE_DARK_FLOWER;;;;
THE_DAYS_OF_AULD_LANGSYNE;;;;
THE_DEAD_SECRET;;;;
THE_DEMI-GODS;;;;
THE_DIARY_OF_A_NOBODY;;;;
THE_DOCTOR'S_WIFE_(MOORE_NOVEL);;;;
THE_DUKE'S_CHILDREN;;;;
THE_DYNAMITER;;;;
THE_EBB-TIDE;;;;
THE_EGOIST_(NOVEL);1;90;3;
THE_EMIGRANTS_OF_AHADARRA;;;;
THE_ENCHANTED_CASTLE;;;;
THE_ENTAIL;;;;
THE_EUSTACE_DIAMONDS;;;;
THE_EVIL_GUEST;;;;
THE_EXECUTOR;;;;
THE_EXPEDITION_OF_HUMPHRY_CLINKER;1;90;5;
THE_EXPERIENCES_OF_LOVEDAY_BROOKE,_LADY_DETECTIVE;;;;
THE_FAIR_JILT;;;;
THE_FAIR_MAID_OF_PERTH;;;;
THE_FAIRCHILD_FAMILY;;;;
THE_FALLEN_LEAVES_(BOOK);;;;
THE_FATHER_AND_DAUGHTER;;;;
THE_FEMALE_QUIXOTE;1;100;2;
THE_FIDDLER_OF_THE_REELS;;;;
THE_FIGURE_IN_THE_CARPET;;;;
