"","canonisation_score","circl_sum","reviews_sum","Text","id","circl_binary","indegree","pagerank","class","reviews_binary"
"441","0.0741722353260478","1","2","MALER_NOLTEN_Q1752673","83","1","4","2.9418973226371046","Review & Catalogue","1"
"361","0.164245491888855","0","0","GODWI_Q1533941","84","0","7","3.375249054498386","No Review & No Catalogue","0"
"524","0.127184961519692","2","0","TITAN_(JEAN_PAUL)_Q492384","85","1","7","3.0240829084011684","No Review, Catalogue","0"
"336","0.725697489186951","2","0","FRANZ_STERNBALDS_WANDERUNGEN_Q1449176","86","1","8","3.395414390153657","No Review, Catalogue","0"
"562","0.372234887656701","2","0","WILLIAM_LOVELL_Q2579763","87","1","8","3.7869867283207803","No Review, Catalogue","0"
"568","0.0794735706665683","1","2","ZUR_CHRONIK_VON_GRIESHUUS_noWikiID","88","1","1","0.3046574731337291","Review & Catalogue","1"
"303","0.0691979459011065","0","0","EEKENHOF_noWikiID","89","0","3","0.446009806488901","No Review & No Catalogue","0"
"454","0.0205467828522686","0","0","MORALISCHEN_ERZAEHLUNGEN_noWikiID","9","0","3","2.567215401968873","No Review & No Catalogue","0"
"331","0.0237824899093644","0","0","FELICITAS_noWikiID","90","0","4","0.5900830203565096","No Review & No Catalogue","0"
"488","0.0601640846066759","1","0","RENATE_noWikiID","91","1","1","0.2363196173878899","No Review, Catalogue","0"
"33","0.0205467828522686","0","0","AUF_DER_WEGWACHT_noWikiID","92","0","2","0.30544374999999996","No Review & No Catalogue","0"
"343","0.0221068485323305","0","0","FREIHEIT_DIE_ICH_MEINE_noWikiID","93","0","5","0.6083654677854937","No Review & No Catalogue","0"
"257","0.0205467828522686","0","0","DIE_LEUTE_VOM_BLAUEN_GUGUCKHAUS_noWikiID","94","0","8","1.3591435993977194","No Review & No Catalogue","0"
"97","0.0560723413501725","1","0","DAS_SCHAEDLICHE_noWikiID","95","1","0","0.15","No Review, Catalogue","0"
"534","0.0560723413501725","1","1","UNSUEHNBAR_noWikiID","96","1","2","0.235","Review & Catalogue","1"
"327","0.0560723413501725","0","0","ERINNERUNGEN_VON_LUDOLF_URSLEU_noWikiID","97","0","5","0.9722486580626915","No Review & No Catalogue","0"
"183","0.0255818179471078","0","0","DER_TROTZKOPF_Q1197625","98","0","3","0.8057670505250425","No Review & No Catalogue","0"
"452","0.354934606197489","1","2","MICHAEL_KOHLHAAS_Q279676","99","1","5","0.7434979343667043","Review & Catalogue","1"
