"","canonisation_score","louvain","circl_sum","reviews_sum","id","circl_binary","squared canonisation score","indegree","pagerank","class","reviews_binary"
"77","0.0221068485323305","8","2","1","DAS_GOLDMACHERDORF_Q114357971","1","4.887127520314033E-4","1","0.1730048741066202","Review & Catalogue","1"
"78","0.0205467828522686","10","0","0","DAS_HEIMWEH_Q1168923","0","4.2217028557827894E-4","1","0.5012959174505729","No Review & No Catalogue","0"
"79","0.0560723413501725","0","2","0","DAS_HEXAMERON_VON_ROSENHAIN_noWikiID","1","0.003144107464490265","9","1.7727868217957699","No Review, Catalogue","0"
"80","0.0221068485323305","9","0","0","DAS_HOELZERNE_BEIN_noWikiID","0","4.887127520314033E-4","0","0.15","No Review & No Catalogue","0"
"81","0.0560723413501725","9","0","0","DAS_JUDENGRAB_Q18411268","0","0.003144107464490265","0","0.15","No Review & No Catalogue","0"
"82","0.0601640846066759","13","1","0","DAS_JUNGE_EUROPA_noWikiID","1","0.0036197170765592556","5","1.2340176830260974","No Review, Catalogue","0"
"83","0.0205467828522686","1","0","0","DAS_KAJUETENBUCH_noWikiID","0","4.2217028557827894E-4","3","0.27767405314474713","No Review & No Catalogue","0"
"84","0.0560723413501725","5","0","0","DAS_KLOSTER_BEI_SENDOMIR_Q1169335","0","0.003144107464490265","2","0.249082049722131","No Review & No Catalogue","0"
"85","0.0560723413501725","9","0","0","DAS_KREUZ_IM_VENN_noWikiID","0","0.003144107464490265","12","2.6782067398697076","No Review & No Catalogue","0"
"86","0.0560723413501725","11","0","0","DAS_LEBEN_DER_HOCHGRAEFIN_GRITTA_VON_RATTENZUHAUSBEIUNS_noWikiID","0","0.003144107464490265","7","0.7309223221114134","No Review & No Catalogue","0"
"87","0.0221068485323305","0","1","0","DAS_LEBEN_UND_DIE_MEINUNGEN_DES_HERRN_MAGISTER_SEBALDUS_NOTHANKER_Q1810894","1","4.887127520314033E-4","13","1.6702772454749317","No Review, Catalogue","0"
"88","0.0741722353260478","5","1","2","DAS_LEIDEN_EINES_KNABEN_Q1169610","1","0.005501520493262613","6","0.9363481862786708","Review & Catalogue","1"
"89","0.0560723413501725","9","0","0","DAS_MAEDCHEN_VON_TREPPI_Q28071194","0","0.003144107464490265","4","0.6437224254358777","No Review & No Catalogue","0"
"90","0.0560723413501725","15","0","0","DAS_MAERCHEN_DER_672._NACHT_Q1169916","0","0.003144107464490265","1","0.45415016259384244","No Review & No Catalogue","0"
"91","0.628138424466113","7","0","2","DAS_MARMORBILD_Q1169722","0","0.39455788029077077","5","0.7192006295326304","Review, No Catalogue","1"
"92","0.0205467828522686","1","1","0","DAS_NATURFORSCHERSCHIFF_noWikiID","1","4.2217028557827894E-4","0","0.15","No Review, Catalogue","0"
"94","0.33800545810469","12","1","2","DAS_ODFELD_Q1169997","1","0.11424768970856136","2","0.2921441908050784","Review & Catalogue","1"
"95","0.0237824899093644","10","1","1","DAS_RECHT_DER_MUTTER_noWikiID","1","5.656068262890195E-4","8","1.1270091016731258","Review & Catalogue","1"
