,wikiname,variations,wikiID,tag,count
165,AGNES_STRICKLAND,"['Elizabeth Strickland', 'Agnes Strickland']",Q1124282,PERSON,3
166,AGRIPPA_KING_OF_ALBA,['Agrippa King of Alba'],noWikiID,PERSON,1
167,AGUS,['Agus'],noWikiID,PERSON,4
168,AHMED_BEN_HASSAN,['Ahmed Ben Hassan'],noWikiID,PERSON,1
169,AIDAN_CHAMBERS,['Aidan Chambers'],Q403877,PERSON,1
170,AIDAN_HIGGINS,['Aidan Higgins'],Q4696709,PERSON,10
171,AIDAN_MATHEWS,"['Aidan Mathews', 'Aidan Carl Mathews']",Q4696710,PERSON,3
172,AIDAN_QUINN,['Aidan Quinn'],Q403902,PERSON,1
173,AIJAZ_AHMAD,['Aijaz Ahmad'],noWikiID,PERSON,2
174,AIKIN,['Aikin'],noWikiID,PERSON,1
175,AILBHE_SMYTH,['Ailbhe Smyth'],Q35243656,PERSON,1
176,AILEEN_DOUGLAS,['Aileen Douglas'],noWikiID,PERSON,2
177,AILEEN_MAVOURNEEN,['Aileen Mavourneen'],noWikiID,PERSON,1
178,AILEEN_RIBEIRO,['Aileen Ribeiro'],noWikiID,PERSON,1
179,AILILL_AULOM,['Ailill Aulomm'],Q405138,PERSON,1
180,AILILL_MAC_ECHACH_MUGMEDÓIN,['Ailill'],Q4697074,PERSON,4
181,AILSA_COX,['Ailsa Cox'],noWikiID,PERSON,1
182,AIMWELL,['Aimwell'],noWikiID,PERSON,1
183,AIMÉE,['Aimée'],noWikiID,PERSON,1
184,AIMÉE_STUART,['Aimée Stuart'],noWikiID,PERSON,1
185,AIMÉ_CÉSAIRE,"['Aimé Césaire', 'Césaire', 'Aimé Cesaire']",Q223955,PERSON,24
186,AINSWORTH,['Ainsworth'],noWikiID,PERSON,2
187,AISEIRIGH_NA_SEANN_CHÀNAIN_ALBANNAICH,['Aiseirigh na Seann Chànain Albannaich'],noWikiID,PERSON,1
188,AISTÍ_EILE,['Aistí Eile'],noWikiID,PERSON,1
189,AKINSIDE,['Akinside'],noWikiID,PERSON,1
190,AKIRA_KUROSAWA,['Akira Kurosawa'],noWikiID,PERSON,1
191,AKIRA_MIZUTA_LIPPIT,['Akira Mizuta Lippit'],noWikiID,PERSON,1
192,AL-MAQDISI,['Makdisi'],Q294116,PERSON,3
193,ALAIN-RENÉ_LESAGE,"['Alain-René Le Sage', 'Le Sage']",Q267962,PERSON,3
194,ALAIN_LOCKE,['Alain Locke'],noWikiID,PERSON,1
195,ALAIN_MONTANDON,['Alain Montandon'],noWikiID,PERSON,1
196,ALAIN_ROBBE-GRILLET,['Alain Robbe-Grillet'],noWikiID,PERSON,4
197,ALAN,['Alan'],noWikiID,PERSON,1
198,ALAN_AYCKBOURN,['Alan Ayckbourn'],noWikiID,PERSON,2
199,ALAN_BENNETT,['Alan Bennett'],noWikiID,PERSON,2
200,ALAN_BEWELL,['Alan Bewell'],noWikiID,PERSON,3
201,ALAN_BLEASDALE,['Alan Bleasdale'],noWikiID,PERSON,4
202,ALAN_BLEASEDALE,['Alan Bleasedale'],noWikiID,PERSON,1
203,ALAN_BLOOM,"['Bloom', 'Alan Bloom', 'Allan Bloom']",Q4706195,PERSON,10
204,ALAN_BROWNJOHN,"['Alan Brownjohn', 'Brownjohn']",Q4706264,PERSON,2
205,ALAN_BRUFORD,['Alan Bruford'],noWikiID,PERSON,3
206,ALAN_BURNS_(AUTHOR),"['Alan Burns', 'Burns']",Q4706283,PERSON,4
207,ALAN_CAMPBELL_(POLITICIAN),['Alan Campbell'],Q268196,PERSON,1
208,ALAN_CLARKE,['Alan Clarke'],noWikiID,PERSON,1
209,ALAN_CUNNINGHAM,['Alan Cunningham'],Q372479,PERSON,1
210,ALAN_DALE,['Alan Dale'],Q350194,PERSON,1
211,ALAN_DENT,['Alan Dent'],Q20707738,PERSON,1
212,ALAN_DOREY,['Alan Dorey'],noWikiID,PERSON,1
213,ALAN_FITZ-OSBORNE,['Alan Fitz-Osborne'],noWikiID,PERSON,1
214,ALAN_FLETCHER_(GRAPHIC_DESIGNER),['Alan Fletcher'],Q1683438,PERSON,1
215,ALAN_FURST,['Alan Furst'],Q2830508,PERSON,1
216,ALAN_GAILEY,['Alan Gailey'],noWikiID,PERSON,1
217,ALAN_HOBSON,['Alan Hobson'],noWikiID,PERSON,1
218,ALAN_HOLLINGHURST,"['Alan Hollinghurst', 'Hollinghurst']",noWikiID,PERSON,10
219,ALAN_ISLER,['Alan Isler'],noWikiID,PERSON,2
220,ALAN_JENKINS_(POET),['Alan Jenkins'],Q4706972,PERSON,2
221,ALAN_JOHNSON,['Alan Johnson'],Q332336,PERSON,1
222,ALAN_LIU,['Alan Liu'],noWikiID,PERSON,2
223,ALAN_MCGUCKIAN,['McGuckian'],Q30171194,PERSON,13
224,ALAN_MERRICK,['Alan Merrick'],noWikiID,PERSON,1
225,ALAN_MOORE,['Alan Moore'],Q205739,PERSON,6
226,ALAN_PAKULA,['Alan Pakula'],noWikiID,PERSON,1
227,ALAN_PARKER_(MUSICIAN),['Alan Parker'],Q4707481,PERSON,2
228,ALAN_PATON,['Alan Paton'],noWikiID,PERSON,1
229,ALAN_RIACH,['Alan Riach'],Q16189472,PERSON,1
230,ALAN_RICHARDSON,['Alan Richardson'],noWikiID,PERSON,2
231,ALAN_ROSS,['Alan Ross'],Q4707666,PERSON,1
232,ALAN_SCHNEIDER,['Alan Schneider'],Q575443,PERSON,1
233,ALAN_SHARP,['Alan Sharp'],noWikiID,PERSON,1
234,ALAN_SILLITOE,['Alan Sillitoe'],noWikiID,PERSON,14
235,ALAN_SILLITOE_OF_NOTTINGHAMSHIRE,['Alan Sillitoe of Nottinghamshire'],noWikiID,PERSON,1
236,ALAN_SIMPSON_(AMERICAN_POLITICIAN),['Alan Simpson'],Q2636748,PERSON,7
237,ALAN_SINFIELD,"['Alan Sinfield', 'Sinfield']",Q2202147,PERSON,4
238,ALAN_SPENCE,['Alan Spence'],Q4707810,PERSON,3
239,ALAN_STANFORD,['Alan Stanford'],Q4707819,PERSON,1
240,ALAN_STRANG,['Alan Strang'],noWikiID,PERSON,1
241,ALAN_TITLEY,['Alan Titley'],noWikiID,PERSON,19
242,ALAN_TURING,['Alan Turing'],noWikiID,PERSON,1
243,ALAN_WARNER,['Alan Warner'],Q1130840,PERSON,3
244,ALAN_WILDE,['Alan Wilde'],noWikiID,PERSON,1
245,ALASDAIR_GRAY,['Alasdair Gray'],noWikiID,PERSON,18
246,ALASDAIR_MAC_MHAIGHSTIR_ALASDAIR,"['Alexander MacDonald', 'Alasdair MacMhaighstir Alasdair', 'MacMhaighstir Alasdair', 'Alasdair Mac Mhaighstir Alasdair', 'Mac Mhaighstir Alasdair']",Q4708451,PERSON,6
247,ALASTAIR_REID,['Alastair Reid'],Q4708767,PERSON,1
248,ALASTAIR_REYNOLDS,['Alistair Reynolds'],Q380869,PERSON,1
249,ALBERTINE,['Albertine'],noWikiID,PERSON,1
250,ALBERTO_MANGUEL,['Alberto Manguel'],Q554406,PERSON,1
251,ALBERT_BOKHARE_SAUNDERS,['Clement Scott'],Q40017150,PERSON,1
252,ALBERT_CAMUS,['Albert Camus'],noWikiID,PERSON,2
253,ALBERT_EINSTEIN,['Albert Einstein'],noWikiID,PERSON,1
254,ALBERT_HARLEIGH,['Albert Harleigh'],noWikiID,PERSON,1
255,ALBERT_HUNT_(INVENTOR),['Albert Hunt'],Q4710513,PERSON,1
256,ALBERT_JOSEPH_MOORE,['Albert Moore'],Q1399837,PERSON,1
257,ALBERT_MEMMI,['Albert Memmi'],Q733225,PERSON,1
258,ALBERT_PRINCE_CONSORT,"['Prince Albert', 'Albert']",Q152245,PERSON,9
259,ALBERT_S._OSBORN,['Albert S. Osborn'],Q4711166,PERSON,1
260,ALBERT_SOBOUL,['Albert Soboul'],Q223588,PERSON,1
261,ALBERT_VII_ARCHDUKE_OF_AUSTRIA,['Archduke Albert'],Q311452,PERSON,1
262,ALBRECHT_DÜRER,"['Albrecht Dürer', 'Dürer']",Q5580,PERSON,2
263,ALBRECHT_VON_HALLER,['Albrecht von Haller'],noWikiID,PERSON,2
264,ALBÉRIC_O'KELLY_DE_GALWAY,"[""O'Kelly""]",Q1269539,PERSON,2
265,ALCUIN,['Alcuin'],Q154332,PERSON,3
266,ALDISS,['Aldiss'],noWikiID,PERSON,7
267,ALDOUS_HUXLEY,['Aldous Huxley'],noWikiID,PERSON,14
268,ALEC_BROWN,['Alec Brown'],noWikiID,PERSON,1
269,ALEC_COPPEL,['Alec Coppel'],noWikiID,PERSON,1
270,ALEC_MCCOWEN,['Alec McCowen'],Q492176,PERSON,1
271,ALEC_WAUGH,['Alec Waugh'],Q4714283,PERSON,1
272,ALEJO_CARPENTIER,['Alejo Carpentier'],noWikiID,PERSON,3
273,ALEKSANDRA_EKSTER,['Alexandra Exter'],Q242121,PERSON,3
274,ALEKSEI_TOLSTOI,['Aleksei Tolstoi'],noWikiID,PERSON,1
275,ALEKS_SIERZ,['Aleks Sierz'],Q4714752,PERSON,1
276,ALESSANDRA_PETRINA,['Alessandra Petrina'],noWikiID,PERSON,1
277,ALESSANDRO_MANZONI,['Alessandro Manzoni'],Q1064,PERSON,2
278,ALESSANDRO_VOLTA,['Alessandro Volta'],Q680,PERSON,1
279,ALEX-LI_TANDEM,['Alex-Li Tandem'],noWikiID,PERSON,1
280,ALEXANDER'S_FEAST,"[""Alexander's Feast""]",noWikiID,PERSON,1
281,ALEXANDER_BAIN,['Alexander Bain'],noWikiID,PERSON,8
282,ALEXANDER_BALL,['Sir Alexander Ball'],Q445924,PERSON,1
283,ALEXANDER_BARCLAY,['Alexander Barclay'],Q1821353,PERSON,1
284,ALEXANDER_BARON,['Alexander Baron'],noWikiID,PERSON,4
285,ALEXANDER_BAUMGARTEN,['Alexander Baumgarten'],noWikiID,PERSON,2
286,ALEXANDER_BLAIR_(RUGBY_UNION),['Alexander Blair'],Q96371726,PERSON,1
287,ALEXANDER_BLOK,['Alexander Blok'],Q164765,PERSON,1
288,ALEXANDER_BROADIE,['Alexander Broadie'],Q4718424,PERSON,1
289,ALEXANDER_BROME,['Alexander Brome'],Q4718430,PERSON,1
290,ALEXANDER_CARLYLE,['Alexander Carlyle'],Q4718533,PERSON,1
291,ALEXANDER_CHALMERS,['Alexander Chalmers'],Q2833099,PERSON,1
292,ALEXANDER_CRAIG,"['Craig', 'Alexander Craig']",Q21278762,PERSON,18
293,ALEXANDER_CRICHTON,['Alexander Crichton'],Q4718660,PERSON,1
294,ALEXANDER_DONALDSON_(BOOKSELLER),"['Donaldson', 'Alexander Donaldson']",Q4718741,PERSON,19
295,ALEXANDER_FALCONBRIDGE,['Alexander Falconbridge'],Q338269,PERSON,1
296,ALEXANDER_FLEMING,['Alexander Fleming'],Q37064,PERSON,1
297,ALEXANDER_FRASER-TYTLER,['Fraser-Tytler'],noWikiID,PERSON,1
298,ALEXANDER_FRASER_TYTLER_LORD_WOODHOUSELEE,"['Alexander Fraser Tytler', 'Lord Woodhouselee', 'Tytler', 'Alexander Fraser-Tytler']",Q2833114,PERSON,7
299,ALEXANDER_GEDDES,"['Alexander Geddes', 'Geddes']",Q4718933,PERSON,5
300,ALEXANDER_GERARD,"['Alexander Gerard', 'Gerard']",Q3610758,PERSON,9
301,ALEXANDER_GOTTLIEB_BAUMGARTEN,['Alexander Gottlieb Baumgarten'],noWikiID,PERSON,1
302,ALEXANDER_HAMILTON,['Alexander Hamilton'],Q178903,PERSON,1
303,ALEXANDER_HUME,['Alexander Hume'],Q4719176,PERSON,2
304,ALEXANDER_I,['Alexander I'],Q60843,PERSON,1
305,ALEXANDER_III_OF_SCOTLAND,['Alexander III'],Q211109,PERSON,1
306,ALEXANDER_KEYES,['Alexander Keyes'],noWikiID,PERSON,2
307,ALEXANDER_KINCAID,"['Alexander Kincaid', 'Kincaid']",Q18670684,PERSON,10
308,ALEXANDER_KORDA,['Alexander Korda'],noWikiID,PERSON,2
309,ALEXANDER_LINKLATER,['Alexander Linklater'],noWikiID,PERSON,1
310,ALEXANDER_MACBEAN,['Alexander MacBean'],Q17424006,PERSON,1
311,ALEXANDER_MACDONALD_(CANADIAN_BISHOP),['Alexander MacDonald'],Q4719467,PERSON,1
312,ALEXANDER_MACKIE,['Alexander Mackie'],noWikiID,PERSON,1
313,ALEXANDER_MACMILLAN_(ENGINEER),['Alexander Macmillan'],Q60776259,PERSON,1
314,ALEXANDER_MACMILLAN_(PUBLISHER),['Alexander Macmillan'],Q4719518,PERSON,7
315,ALEXANDER_MCLACHLAN,"['Alexander McLachlan', 'McLachlan']",Q4719614,PERSON,2
316,ALEXANDER_MIKULIN,['Mikulin'],Q962897,PERSON,1
317,ALEXANDER_MONTGOMERIE,"['Alexander Montgomerie', 'Montgomerie']",Q4302000,PERSON,5
318,ALEXANDER_MONTGOMERIE_9TH_EARL_OF_EGLINTON,['Alexander Montgomerie'],Q4719686,PERSON,3
319,ALEXANDER_MONTOGEMRIE,['Montgomerie'],Q4302000,PERSON,1
320,ALEXANDER_MOORE_(POLITICIAN),['Alex Moore'],Q16066820,PERSON,1
321,ALEXANDER_MUNRO_(SCULPTOR),['Alexander Munro'],Q2764919,PERSON,2
322,ALEXANDER_OF_ISLAY_EARL_OF_ROSS,['Alexander MacDonald'],Q2833745,PERSON,3
323,ALEXANDER_POLLOCK_WATT,['Alexander Pollock Watt'],noWikiID,PERSON,1
324,ALEXANDER_POPE,"['Pope', 'Alexander Pope', 'POPE']",Q164047,PERSON,896
325,ALEXANDER_POPE_(ACTOR),['Alexander Pope'],Q4719870,PERSON,6
326,ALEXANDER_PUSHKIN,"['Pushkin', 'Alexander Pushkin']",Q7200,PERSON,6
327,ALEXANDER_ROSS_(WRITER),['Alexander Ross'],Q3247050,PERSON,2
328,ALEXANDER_SCOTT,['Alexander Scott'],Q2756183,PERSON,1
329,ALEXANDER_SCOTT_(16TH-CENTURY_POET),['Alexander Scott'],Q2756183,PERSON,1
330,ALEXANDER_SELKIRK,['Alexander Selkirk'],Q223797,PERSON,3
331,ALEXANDER_SMITH,['Alexander Smith'],Q3610799,PERSON,1
332,ALEXANDER_SMITH_(POET),"['Alexander Smith', 'Smith']",Q3610799,PERSON,6
333,ALEXANDER_SOMERVILLE,['Alexander Somerville'],Q4720121,PERSON,2
334,ALEXANDER_STANHOPE_ST_GEORGE,['Alexander Stanhope St George'],noWikiID,PERSON,3
335,ALEXANDER_THE_GREAT,"['Alexander', 'Alexander the Great']",Q8409,PERSON,6
336,ALEXANDER_TILLOCH,['Alexander Tilloch'],Q4720229,PERSON,1
337,ALEXANDER_VON_HUMBOLDT,"['Alexander von Humboldt', 'Humboldt']",Q6694,PERSON,8
338,ALEXANDER_WEDDERBURN_(BUSINESSMAN),['Alexander Wedderburn'],Q16244727,PERSON,1
339,ALEXANDER_WEDDERBURN_1ST_EARL_OF_ROSSLYN,['Alexander Wedderburn'],Q4720351,PERSON,1
340,ALEXANDER_WELSH,['Alexander Welsh'],Q51844608,PERSON,1
341,ALEXANDER_WILLIAM_KINGLAKE,['Alexander Kinglake'],Q334080,PERSON,1
342,ALEXANDER_WILSON,['Alexander Wilson'],noWikiID,PERSON,3
