title;wikiname;ALZ;BLU;DL;MGS;sum_reviews;binary;id
NA;GESCHICHTEN_AUS_DEN_TIROLER_BERGEN;0;0;0;0;0;0;NA
NA;GESCHWISTER_TANNER;0;0;0;0;0;0;NA
NA;GESPRAECHE_MIT_DAEMONEN;0;0;0;0;0;0;NA
NA;GIB_MICH_FREI;0;0;0;0;0;0;NA
gockel, hinkel und gackeleia;GOCKEL,_HINKEL_UND_GACKELEIA;0;0;1;1;2;1;20042
NA;GODWI;0;0;0;0;0;0;NA
NA;GOLDELSE_(MARLITT);0;0;0;0;0;0;NA
NA;GRANDISON_DER_ZWEYTE;0;0;0;0;0;0;NA
grete minde;GRETE_MINDE;0;0;1;0;1;1;20106
NA;GRILLPARZERS_LIEBESROMAN;0;0;0;0;0;0;NA
NA;GROENLAENDISCHE_PROZESSE;0;0;0;0;0;0;NA
NA;GROSZMUETHIGER_FELDHERR_ARMINIUS;0;0;0;0;0;0;NA
NA;GUTMANNS_REISEN;0;0;0;0;0;0;NA
NA;HALBTIER;0;0;0;0;0;0;NA
hammer und amboß;HAMMER_UND_AMBOSS;0;1;0;0;1;1;20443
