"louvain","","canonisation_score","circl_sum","reviews_sum","id","circl_binary","squared canonisation score","pagerank","indegree","class","reviews_binary"
"10","72","0.11291791638611","1","0","BLIND_LOVE_noWikiID","1","0.012750455840980529","0.5935021512655261","2","No Review, Catalogue","0"
"3","73","0.11291791638611","1","0","BORN_IN_EXILE_Q4945890","1","0.012750455840980529","0.5510429171523503","3","No Review, Catalogue","0"
"4","74","0.049863479389024","1","1","BROKEN_TO_HARNESS_noWikiID","1","0.0024863665767796217","0.4675435329888976","2","Review & Catalogue","1"
"1","75","0.616422785736394","3","2","CALEB_WILLIAMS_Q7784409","1","0.37997705077501626","0.8295370722638125","7","Review & Catalogue","1"
"11","76","0.11291791638611","1","0","CALLISTA_(NOVEL)_Q2934238","1","0.012750455840980529","1.6245589657547772","5","No Review, Catalogue","0"
"1","77","0.550971056761127","0","2","CAMILLA_Q2934813","0","0.30356910538847304","2.8199311207878575","14","Review, No Catalogue","1"
"8","78","0.122244604531682","0","0","CAPTAIN_SINGLETON_Q1728631","0","0.014943743337107327","1.4810152814811623","10","No Review & No Catalogue","0"
"9","79","0.0477757206414661","1","0","CAPTAINS_COURAGEOUS_Q1035138","1","0.0022825194828114104","0.6558273485666803","3","No Review, Catalogue","0"
"5","80","0.137472234822425","2","0","CARMILLA_Q1043792","1","0.01889861534707196","0.15","0","No Review, Catalogue","0"
"5","81","0.11291791638611","0","0","CARNIVAL_noWikiID","0","0.012750455840980529","1.1060311481103544","7","No Review & No Catalogue","0"
"14","82","0.0477757206414661","0","0","CARROTS_noWikiID","0","0.0022825194828114104","1.2173339722074745","7","No Review & No Catalogue","0"
"8","83","0.86626658311391","3","1","CASTLE_RACKRENT_Q5050238","1","0.7504177930198488","0.15","0","Review & Catalogue","1"
"0","84","0.117501066676145","1","1","CASTLE_RICHMOND_Q5050241","1","0.013806500670031873","2.9433988769227484","16","Review & Catalogue","1"
"0","85","0.11291791638611","0","0","CATHERINE,_A_STORY_noWikiID","0","0.012750455840980529","0.40753131004056076","2","No Review & No Catalogue","0"
"6","86","0.11291791638611","0","0","CATRIONA_noWikiID","0","0.012750455840980529","0.45356460734361403","3","No Review & No Catalogue","0"
"1","87","0.177146178958168","2","2","CECILIA_Q3233990","1","0.031380768719479285","3.031061790521078","16","Review & Catalogue","1"
"1","88","0.11291791638611","2","2","CELESTINA_Q583705","1","0.012750455840980529","1.952521442628183","10","Review & Catalogue","1"
"5","89","0.117501066676145","1","0","CELIBATES_noWikiID","1","0.013806500670031873","1.4746543130813652","8","No Review, Catalogue","0"
"9","90","0.294299317623214","0","0","CHANCE_Q793748","0","0.0866120883534894","1.462690887459213","4","No Review & No Catalogue","0"
"13","91","0.0477757206414661","0","0","CHARLOTTE_TEMPLE_noWikiID","0","0.0022825194828114104","0.15","0","No Review & No Catalogue","0"
"12","92","0.0520374856859669","1","0","CHILDREN_OF_THE_GHETTO_noWikiID","1","0.0027078999165172104","0.667455489063799","2","No Review, Catalogue","0"
"6","93","0.142891468333576","2","0","CHRONICLES_OF_THE_CANONGATE_Q17352486","1","0.020417971722525352","0.7337618460890635","6","No Review, Catalogue","0"
"14","94","0.0477757206414661","0","0","CITY_SCENES_noWikiID","0","0.0022825194828114104","0.2557303961111782","1","No Review & No Catalogue","0"
"1","95","0.965599150597217","3","1","CLARISSA_Q980534","1","0.932381719634067","4.007623316574503","18","Review & Catalogue","1"
"2","96","0.0477757206414661","1","1","CLEG_KELLY_noWikiID","1","0.0022825194828114104","0.3714188650548893","3","Review & Catalogue","1"
"4","97","0.11291791638611","1","1","COCK_AND_ANCHOR_noWikiID","1","0.012750455840980529","0.5467746063994929","3","Review & Catalogue","1"
"1","98","0.0699415703280632","2","3","COELEBS_IN_SEARCH_OF_A_WIFE_Q5140605","1","0.0048918232599554105","0.15","0","Review & Catalogue","1"
"5","99","0.0520374856859669","2","1","COMETH_UP_AS_A_FLOWER_Q19571321","1","0.0027078999165172104","0.4139770651544952","2","Review & Catalogue","1"
"8","100","0.0566567958260902","1","1","CONFESSIONS_OF_A_THUG_(NOVEL)_Q5160036","1","0.003209992513279272","0.24912280708102058","1","Review & Catalogue","1"
"5","101","0.137472234822425","1","1","CONFESSIONS_OF_A_YOUNG_MAN_Q5160039","1","0.01889861534707196","0.26678689856604376","2","Review & Catalogue","1"
"1","102","0.353247063375283","1","1","CONFESSIONS_OF_AN_ENGLISH_OPIUM-EATER_Q1610128","1","0.1247834877832612","0.2022412887410261","1","Review & Catalogue","1"
"0","103","0.122244604531682","2","0","CONINGSBY_Q5161083","1","0.014943743337107327","0.7523757255318007","2","No Review, Catalogue","0"
"8","104","0.0566567958260902","1","1","CORAL_ISLAND_Q4232653","1","0.003209992513279272","0.8341626971620001","5","Review & Catalogue","1"
"6","105","0.117501066676145","1","0","COUNT_ROBERT_OF_PARIS_noWikiID","1","0.013806500670031873","1.6757333448581613","14","No Review, Catalogue","0"
