"","circl_sum","Text","canonisation_score","reviews_sum","id","circl_binary","betweenness","indegree","pagerank","class","reviews_binary"
"271","1","PATRONAGE_(NOVEL)_Q7148133","0.127152048513252","5","138","1","24255.622308586568","5","1.84645382786596","Review & Catalogue","1"
"343","2","THE_ADVENTURES_OF_A_BROWNIE_noWikiID","0.11291791638611","0","139","1","958.8622835497836","1","0.2354486111111111","No Review, Catalogue","0"
"350","2","THE_ADVENTURES_OF_RODERICK_RANDOM_Q7712626","0.146710915746886","0","14","1","4024.8541896242737","6","2.2335995900398617","No Review, Catalogue","0"
"62","2","AT_THE_BACK_OF_THE_NORTH_WIND_Q1619593","0.137472234822425","1","140","1","1380.64538151077","4","0.374637804706415","Review & Catalogue","1"
"240","2","MOPSA_THE_FAIRY_noWikiID","0.0477757206414661","1","141","1","1460.0955402771144","4","0.47878771020335603","Review & Catalogue","1"
"641","2","THROUGH_THE_LOOKING-GLASS_Q220331","0.313316107488017","1","142","1","696.645640231416","3","0.30171043981481477","Review & Catalogue","1"
"628","0","THE_WIDOW_BARNABY_noWikiID","0.117501066676145","1","143","0","873.7104042721999","3","0.7491354739323564","Review, No Catalogue","1"
"166","1","HELEN_noWikiID","0.11291791638611","2","144","1","26419.958058544384","7","3.9131837744137146","Review & Catalogue","1"
"390","2","THE_CONFESSIONS_OF_HARRY_LORREQUER_noWikiID","0.049863479389024","0","145","1","385.34181768083846","3","0.6954530672332151","No Review, Catalogue","0"
"328","0","STORIES_OF_RED_HANRAHAN_noWikiID","0.049863479389024","0","146","0","0","0","0.15","No Review & No Catalogue","0"
"186","1","JOHN_BURNET_OF_BARNS_noWikiID","0.11291791638611","0","147","1","1999.9506721542064","4","0.3655208449074074","No Review, Catalogue","0"
"576","0","THE_SECRET_ROSE_noWikiID","0.0520374856859669","0","148","0","438.4957236786523","2","0.235","No Review & No Catalogue","0"
"611","1","THE_UNTILLED_FIELD_noWikiID","0.172694745758032","1","149","1","1943.031594438929","4","0.8911783580825516","Review & Catalogue","1"
"461","3","THE_HISTORY_OF_TOM_JONES,_A_FOUNDLING_Q248096","0.417024677521532","0","15","1","418.6117584352596","8","2.0630137519421745","No Review, Catalogue","0"
"120","2","DOMBEY_AND_SON_Q963659","0.594948283367066","1","150","1","2118.8420737443457","7","4.078557784666267","Review & Catalogue","1"
"313","0","SHIRLEY_(NOVEL)_Q615175","0.528634267866976","0","151","0","1811.9460659752344","6","1.7759203350939736","No Review & No Catalogue","0"
"321","0","SONS_AND_LOVERS_Q80771","0.190637850864638","1","152","0","38.03634639305527","1","0.1925","Review, No Catalogue","1"
"626","0","THE_WHITE_PEACOCK_Q7774542","0.049863479389024","1","153","0","833.9738248948331","5","0.44157361111111104","Review, No Catalogue","1"
"394","2","THE_CROCK_OF_GOLD_(NOVEL)_Q7728134","0.0591085593605752","1","154","1","61.188404352822516","3","0.3015833333333333","Review & Catalogue","1"
"426","0","THE_FORSYTE_SAGA_Q735319","0.158330619297716","0","155","0","6176.125574953623","15","1.8438916723175027","No Review & No Catalogue","0"
"521","2","THE_MYSTERY_OF_EDWIN_DROOD_Q1168105","0.285047546124646","1","156","1","575.1132489765695","2","0.5049655190876376","Review & Catalogue","1"
"253","0","NO_THOROUGHFARE_Q7045074","0.0477757206414661","0","157","0","27861.965710198263","3","2.343985296602226","No Review & No Catalogue","0"
"266","2","OUR_MUTUAL_FRIEND_Q1557935","0.594948283367066","1","158","1","851.872517547653","4","1.1670729480986735","Review & Catalogue","1"
"598","1","THE_TENANTS_OF_MALORY_noWikiID","0.11291791638611","1","159","1","726.2242144597967","4","1.4044805927707107","Review & Catalogue","1"
"95","3","CLARISSA_Q980534","0.965599150597217","1","16","1","7740.914244653778","4","2.173958703922795","Review & Catalogue","1"
"351","1","THE_ADVENTURES_OF_SHERLOCK_HOLMES_Q392147","0.363586690277014","0","160","1","1092.7375411668736","9","0.9703048921695205","No Review, Catalogue","0"
"54","1","AN_IRISH_COUSIN_noWikiID","0.0543008598413405","1","161","1","634.649958876113","4","0.7755082480657214","Review & Catalogue","1"
"248","1","NEW_GRUB_STREET_noWikiID","0.427995724732536","1","162","1","890.8066574578636","9","3.3541570879915366","Review & Catalogue","1"
"196","1","KING_SOLOMON'S_MINES_Q1137494","0.406135180117558","1","163","1","10838.736773077562","5","1.1034828309028186","Review & Catalogue","1"
"174","0","HOWARDS_END_Q1146642","0.16636459934805","1","164","0","196.90111542035473","5","0.4812375231481481","Review, No Catalogue","1"
"646","0","TONO-BUNGAY_Q1535422","0.097276608150085","1","165","0","1000.6900187576081","6","0.6020075760030863","Review, No Catalogue","1"
"494","0","THE_LONGEST_JOURNEY_Q15999894","0.11291791638611","1","166","0","1933.0758366980522","7","1.1750547606137474","Review, No Catalogue","1"
"56","0","ANN_VERONICA_Q1247736","0.160221548263055","1","167","0","175.9659843383912","6","0.65190690470679","Review, No Catalogue","1"
"407","0","THE_ENCHANTED_CASTLE_Q2920166","0.0477757206414661","0","168","0","524.1098021564173","4","0.3320416666666666","No Review & No Catalogue","0"
"542","1","THE_PHOENIX_AND_THE_CARPET_Q3795974","0.049863479389024","0","169","1","1021.8924845045915","4","0.4489729398148148","No Review, Catalogue","0"
"157","2","HARD_CASH_(NOVEL)_Q30314349","0.0566567958260902","1","17","1","912.1262662701475","4","0.7249545743160164","Review & Catalogue","1"
"590","1","THE_STORY_OF_THE_AMULET_Q7766831","0.049863479389024","1","170","1","697.6717287303497","2","0.2865784722222222","Review & Catalogue","1"
"16","0","A_LITTLE_PRINCESS_Q10483376","0.117501066676145","0","171","0","127.05964221989275","1","0.2440784722222222","No Review & No Catalogue","0"
"588","0","THE_STORY_OF_A_MODERN_WOMAN_Q7766819","0.049863479389024","0","172","0","251.9455056861881","3","0.4941091776036197","No Review & No Catalogue","0"
