,Year,Review,mean,std
150,25,0,0.7416777130112338,0.09994520456225756
151,25,1,0.7871059113118868,0.09531339822776876
152,26,0,0.7414857637351376,0.10069659220673889
153,26,1,0.7876708279984904,0.09210383298116116
154,27,0,0.7435294249879799,0.09874395062578488
155,27,1,0.7876284805224606,0.09103436591464228
156,28,0,0.7420100457518046,0.10018585642124082
157,28,1,0.7848625744948047,0.09112499729605905
158,29,0,0.740493685956137,0.10290267802155234
159,29,1,0.7847867159212575,0.09077085224450797
160,30,0,0.7386147201044165,0.10603945147614056
161,30,1,0.7831642369722155,0.09237983226661403
162,31,0,0.7394955492130278,0.10418588332603462
163,31,1,0.7833142756017419,0.09267420672857986
164,32,0,0.7409912512411062,0.1012791947252625
165,32,1,0.7831267517804371,0.09156676124220695
166,33,0,0.7430156804920404,0.10275604907779182
167,33,1,0.7823326896595024,0.09110414484257401
168,34,0,0.7419858223324677,0.10127412189288909
169,34,1,0.7822857208689108,0.08982297531426688
170,35,0,0.7434152980873161,0.09967431686211957
171,35,1,0.7822485318663978,0.08873982250583343
172,36,0,0.7434212061334113,0.10138293793427418
173,36,1,0.7811107977179148,0.0894687048599212
174,37,0,0.7430700214369579,0.10192511106371493
175,37,1,0.7800444164336432,0.08915302044662002
176,38,0,0.7438877364942691,0.09884315758567286
177,38,1,0.7783896855299021,0.09015297710701992
178,39,0,0.7440453604933543,0.09983080188079438
179,39,1,0.7767757471263577,0.08970221596484651
180,40,0,0.7437744514178481,0.10065800239495537
181,40,1,0.7744217454592022,0.08947955968432889
182,41,0,0.742434684302245,0.10168413193354535
183,41,1,0.7710793815141542,0.0892333971426656
184,42,0,0.7417625352185615,0.10205130756837016
185,42,1,0.7707489922548326,0.09033606366619908
186,43,0,0.7405429056709262,0.09989539511576753
187,43,1,0.7694871360356476,0.09112266585026567
188,44,0,0.7401738388658542,0.10120519956013987
189,44,1,0.7664225773323314,0.09370997886177278
190,45,0,0.7372710354918472,0.10696379700987728
191,45,1,0.7642698567972782,0.0944842352515394
192,46,0,0.7335962473686984,0.11488647504153983
193,46,1,0.7633549188730829,0.09393912540669382
194,47,0,0.7349828963073655,0.11046380941936078
195,47,1,0.7615592861852868,0.0931711033927385
196,48,0,0.738849684474546,0.10157416909201704
197,48,1,0.7596504939228801,0.09393847133624265
198,49,0,0.7369055999063516,0.10079010100541788
199,49,1,0.759606326864631,0.09191322191434546
200,50,0,0.7369841763214857,0.09887946213372786
201,50,1,0.7607373584734866,0.08841772432656281
