wikiname;variations;author;author_firstname;wikiID;freq;repo_title;repoID;pub_year;genre;text_source
LIENHARD_UND_GERTRUD;['Lienhard und Gertrud'];Pestalozzi;Johann;Q1824235;1;Lienhard und  Gertrud;../../pestaloz/lienhard/lienhard.html;1779;(['education novel'], ['novel']);Gutenberg-DE
LOLA;['Grausame Frauen'];Sacher-Masoch;Leopold von;noWikiID;1;;../../sacher-m/lola/lola.html;1907;;Gutenberg-DE
LOTTI,_DIE_UHRMACHERIN;['Lotti, die Uhrmacherin'];Ebner-Eschenbach;Marie von;noWikiID;2;Lotti, die Uhrmacherin;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Ebner_Eschenbach_Marie_von_Lotti_die_Uhrmacherin.xml;1874;;textgrid
LUCINDE;['Lucinde'];Schegel;Friedrich;Q1873464;37;;../../schleglf/lucinde/lucinde.html;1799;([], ['novel']);Gutenberg-DE
LYDIA;['Lydia'];Aston;Louise;noWikiID;2;Lydia;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Aston_Louise_Lydia.xml;1848;novel;textgrid
MADONNA;['Madonna'];Mundt;Theodor;noWikiID;4;Madonna;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Mundt_Theodor_Madonna.xml;1835;novel;textgrid
MAERCHEN_DES_LEBENS;['MÃ¤rchen des Lebens'];Altenberg;Peter;noWikiID;1;MÃ¤rchen des Lebens;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Altenberg_Peter_MÃ¤rchen_des_Lebens.xml;1908;prose;textgrid
MALER_NOLTEN;['Maler Nolten'];Mörike;Eduard;Q1752673;5;;../../moerike/nolten/nolten.html;1836;([], ['novel']);Gutenberg-DE
MARIA;['Maria'];Liebeskind;Margareta;noWikiID;10;Maria;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Liebeskind_Margareta_Sophia_Maria.xml;1784;;textgrid
MARION;['Marion'];Heyse;Paul;noWikiID;1;Marion;../../heyse/marion/marion.html;1855;;Gutenberg-DE
MARQUISE_VON_O;['Marquise von O â€¦'];Kleist;Heinrich von;noWikiID;1;Die Marquise von  O...;../../kleist/marquise/marquise.html;1808;;Gutenberg-DE
MARTIN_SALANDER;['Martin Salander'];Keller;Gottfried;Q1904882;9;;../../keller/salander/salander.html;1886;([], ['novel']);Gutenberg-DE
MEIN_HERZ_(ROMAN);['Mein Herz'];Lasker-Schüler;Else;Q20827330;2;Mein Herz;../../lasker/meinherz/meinherz.html;1912;novel;Gutenberg-DE
MEINE_KINDERJAHRE;['Meine Kinderjahre'];Fontane;Theodor;Q1918015;2;Meine Kinderjahre;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Fontane_Theodor_Meine_Kinderjahre.xml;1893;([], ['novel']);textgrid
MEISTER_AUTOR_ODER_DIE_GESCHICHTEN_VOM_VERSUNKENEN_GARTEN;['Meister Autor', 'Meister Autors'];Raabe;Wilhelm;Q1452385;2;;35603;1873;narrative;Gutenberg-US
MEISTER_FLOH;['Meister Floh'];Hoffmann;E. T. A;Q837936;6;;../../Hoffmann/floh/floh.html;1822;(['speculative fiction'], ['fairy tale']);Gutenberg-DE
MEISTER_MARTIN_DER_KUEFNER_UND_SEINE_GESELLEN;['Meister Martin der KÃ¼fner und seine Gesellen', 'Meister Martin', 'Meister Martin der KÃ¼fer und seine Gesellen'];Hoffmann;E. T. A;Q1918300;6;Meister Martin der  KÃ¼fner und seine Gesellen;../../Hoffmann/mmartin/mmartin.html;1818;([], ['novella']);Gutenberg-DE
MEISTER_TIMPE;['Meister Timpe'];Kretzer;Max;noWikiID;12;Meister Timpe;../../kretzer/timpe/timpe.html;1888;;Gutenberg-DE
MICHAEL_KOHLHAAS;['Michael Kohlhaas'];Kleist;Heinrich von;Q279676;7;;../../kleist/kohlhaas/kohlhaas.html;1810;([], ['short story', 'novella']);Gutenberg-DE
MODERNE_LEBENSWIRREN;['Moderne Lebenswirren'];Mundt;Theodor;noWikiID;2;Moderne  Lebenswirren;../../mundt/modelebe/modelebe.html;1834;narration;Gutenberg-DE
MORALISCHEN_ERZAEHLUNGEN;['Moralischen ErzÃ¤hlungen'];La Roche;Sophie von;noWikiID;1;Moralische ErzÃ¤hlungen;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/La_Roche_Sophie_von_Moralische_ErzÃ¤hlungen.xml;1782;collection of stories;textgrid
MOZART_AUF_DER_REISE_NACH_PRAG;['Mozart auf der Reise nach Prag'];Mörike;Eduard;Q1951309;4;Mozart auf der Reise nach  Prag;../../moerike/mozart/mozart.html;1855;(['novel'], ['novel', 'novella']);Gutenberg-DE
MUENCHHAUSEN;['MÃ¼nchhausen'];Immermann;Karl;noWikiID;3;MÃ¼nchhausen;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Immermann_Karl_MÃ¼nchhausen.xml;1838;;textgrid
NACH_DEM_GROSSEN_KRIEGE;['Nach dem groÃŸen Kriege'];Raabe;Wilhelm;Q1269839;1;Nach dem groÃŸen  Kriege;../../raabe/nachkrie/nachkrie.html;1861;novel;Gutenberg-DE
NACHTSTUECKE;['NachtstÃ¼cken'];Hoffmann;E. T. A;Q15836200;17;NachtstÃ¼cke;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Hoffmann_E._T._A._NachtstÃ¼cke.xml;1817;collection of stories;textgrid
NACHTWACHEN;['Nachtwachen des Bonaventura', 'Nachtwachen von Bonaventura', 'Nachtwachen', 'Die Nachtwachen von Bonaventura', 'Die Nachtwachen'];Klingemann;August;Q1962904;32;Die Nachtwachen des Bonaventura;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Klingemann_August_Die_Nachtwachen_des_Bonaventura.xml;1804;([], ['novel']);textgrid
NESTHAEKCHEN_(KINDERBUCHREIHE);['NesthÃ¤kchen-Serie'];Ury;Else;Q1747891;1;;../../ury/nestpupp/nestpupp.html;1913;children's book;Gutenberg-DE
NEUE_GESCHICHTEN_AUS_DEM_GHETTO;['Neue Geschichten aus dem Ghetto'];Kompert;Leopold;noWikiID;1;Neue Geschichten aus  dem Ghetto;../../kompert/nghetto/nghetto.html;1855;collection of stories;Gutenberg-DE
NEUE_IDYLLEN;['Neuer Idyllen'];Gessner;Salomon;noWikiID;1;Neue Idyllen;../../gessner/nidyllen/nidyllen.html;1772;idylls;Gutenberg-DE
NINON;['Ninon'];Saar;Ferdinand von;noWikiID;2;;http://www.zeno.org/Literatur/M/Saar,+Ferdinand+von/Erz%C3%A4hlungen/Novellen+aus+%C3%96sterreich/4.+Teil/Ninon;1892;novella;zeno
NOVELLEN_AUS_OESTERREICH;['Novellen aus Ã–sterreich'];Saar;Ferdinand von;noWikiID;10;Novellen aus Ã–sterreich;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Saar_Ferdinand_von_Novellen_aus_Ã–sterreich.xml;1877;collection of novellas;textgrid
OHNE_LIEBE;['Ohne Liebe Â»', 'Ohne Liebe'];Ebner-Eschenbach;Marie von;Q106687147;2;;../../ebnresch/erzauto/chap14.html;1888;([], ['novella']);Gutenberg-DE
PANKRAZ_DER_SCHMOLLER;['Pankraz, der Schmoller'];Keller;Gottfried;Q2049588;4;Pankraz, der  Schmoller;../../keller/pankraz/pankraz.html;1856;([], ['novella']);Gutenberg-DE
PAPA_HAMLET;['Papa Hamlet'];Holz/Schlaf;Arno/Johannes;Q2050484;27;;../../schlaf/papahaml/papahaml.html;1889;narrative;Gutenberg-DE
PARALYSE;['Paralyse'];Sack;Gustav;noWikiID;1;Paralyse;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Sack_Gustav_Paralyse.xml;1913;;textgrid
PETER_CAMENZIND;['Peter Camenzind'];Hesse;Hermann;Q576493;2;;41051;1904;(['novel'], ['novel']);Gutenberg-US
PETER_SCHLEMIHLS_WUNDERSAME_GESCHICHTE;"['Peter Schlemihls wundersame Geschichte', ""Peter Schlemihl's wundersame Geschichte"", ""Peter Schlemihl's wundersame[r] Geschichte""]";Chamisso;Adalbert von;Q1093419;4;Peter Schlemihls wundersame Geschichte;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Chamisso_Adelbert_von_Peter_Schlemihls_wundersame_Geschichte.xml;1814;(['literary fairy tale', 'fairy tale'], []);textgrid
PFISTERS_MUEHLE;['Pfisters MÃ¼hle'];Raabe;Wilhelm;Q1373296;15;;./../raabe/pfister/pfister.html;1884;([], ['novel']);Gutenberg-DE
PFLUG_UND_SCHRAUBSTOCK;['Pflug und Schraubstock'];Eyth;Max;noWikiID;1;Hinter Pflug und  Schraubstock;../../eyth/pflug/pflug.html;1889;collection of stories;Gutenberg-DE
PLAUTUS_IM_NONNENKLOSTER;['Plautus im Nonnenkloster', 'Plautus im Nonnenkoster'];Meyer;Conrad Ferdinand;Q1772718;3;Plautus im Nonnenkloster;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Meyer_Conrad_Ferdinand_Plautus_im_Nonnenkloster.xml;1881;narration;textgrid
POLE_POPPENSPAELER;['Pole PoppenspÃ¤ler'];Storm;Theodor;Q1760267;5;Pole  PoppenspÃ¤ler;../../storm/polepopp/polepopp.html;1874;narration;Gutenberg-DE
POLIZEIGESCHICHTEN;['Polizeigeschichten'];Dronke;Ernst;noWikiID;1;Polizei-Geschichten;../../dronke/polizei/polizei.html;1846;;Gutenberg-DE
POLNISCHE_GHETTO-GESCHICHTEN;['Polnische Ghetto-Geschichten'];Sacher-Masoch;Leopold von;noWikiID;1;Polnische  Geschichten;../../sacher-m/polnisch/polnisch.html;1886;collection of stories;Gutenberg-DE
PRINZESSIN_BRAMBILLA;['Prinzessin Brambilla'];Hoffmann;E. T. A;Q570890;6;Prinzessin  Brambilla;../../Hoffmann/brambil1/brambil1.html;1820;([], ['novel', 'narration']);Gutenberg-DE
PRINZESSIN_FISCH;['Prinzessin Fisch'];Raabe;Wilhelm;Q2110713;2;;../../raabe/prifisch/prifisch.html;1882;novel;Gutenberg-DE
PROFESSOR_UNRAT;['Professor Unrat'];Mann;Heirich;Q457481;2;;../../mannh/prounrat/prounrat.html;1904;([], ['novel']);Gutenberg-DE
PROKOPUS;['Prokopus'];Stifter;Adalbert;Q23689421;1;;../../stifter/prokopus/prokopus.html;1848;narrative;Gutenberg-DE
