;wikiname;0
64;KUSS_VON_SENTZE;1
65;DAS_ODFELD;2
66;DIE_VERLORENE_HANDSCHRIFT;2
67;ALTE_NESTER;2
68;DIE_MARZIPANLIESE;2
69;DIE_MANDANEN-WAISE;1
70;DIE_FLUSSPIRATEN_DES_MISSISSIPPI;1
71;WILHELM_MEISTERS_WANDERJAHRE;10
72;PANKRAZ_DER_SCHMOLLER;4
73;DIE_FRAU_PROFESSORIN;2
74;DER_WALDBRUNNEN;1
75;ZUM_WILDEN_MANN;3
76;ANDREA_DELFIN;1
77;L'ARRABIATA;2
78;BEATRICE;1
79;DER_LANDVOGT_VON_GREIFENSEE;3
80;AQUIS_SUBMERSUS;4
81;ZUR_CHRONIK_VON_GRIESHUUS;3
82;EIN_FEST_AUF_HADERSLEVHUUS;3
83;DER_HERR_ETATSRAT;2
84;ZUR_WALD-_UND_WASSERFREUDE;1
85;IM_NACHBARHAUSE_LINKS;2
86;HANS_UND_HEINZ_KIRCH;4
87;AUF_DEM_STAATSHOF;2
88;DER_ARME_SPIELMANN;3
89;DRAUSSEN_IM_HEIDEDORF;2
90;SCHWEIGEN;2
91;ELSE_VON_DER_TANNE;3
92;DIE_SCHWARZE_GALEERE;2
93;VERWORRENES_LEBEN;1
94;DIE_INNERSTE;3
95;DER_HEILIGE;4
96;DIE_VERSUCHUNG_DES_PESCARA;5
97;DER_SCHUSS_VON_DER_KANZEL;3
98;RENATE;2
99;GRETE_MINDE;2
100;IRRUNGEN_WIRRUNGEN;3
101;PLAUTUS_IM_NONNENKLOSTER;3
102;DER_IM_IRR-GARTEN_DER_LIEBE_HERUM_TAUMELNDE_CAVALIER;1
103;WILHELM_MEISTERS_THEATRALISCHE_SENDUNG;7
104;SIEGWART;1
105;DIE_VERLOBUNG_IN_ST._DOMINGO;1
106;UNTERHALTUNGEN_DEUTSCHER_AUSGEWANDERTEN;4
107;ARDINGHELLO;2
108;WOLDEMAR;1
109;EDUARD_ALLWILLS_PAPIEREN;1
110;HEINRICH_JUNG_STILLINGS_JUGEND;1
111;FRANZ_STERNBALDS_WANDERUNGEN;7
112;LEBENS-ANSICHTEN_DES_KATERS_MURR;4
113;TITAN_(JEAN_PAUL);5
114;HESPERUS_ODER_45_HUNDPOSTTAGE;3
115;LUCINDE;7
116;DIE_LEHRLINGE_ZU_SAIS;6
117;WILLIAM_LOVELL;4
118;DER_RUNENBERG;4
119;DAS_MARMORBILD;4
120;DSCHINNISTAN;2
121;AMANDA_UND_EDUARD;3
122;FLORENTIN;4
123;FLEGELJAHRE;1
124;MICHAEL_KOHLHAAS;3
125;DAS_ERDBEBEN_IN_CHILI;3
126;DER_ZWEIKAMPF;1
127;DER_FINDLING;1
128;DIE_ELIXIERE_DES_TEUFELS;6
129;DER_MAGNETISEUR_(E._T._A._HOFFMANN);2
130;KREISLERIANA;3
131;DER_SANDMANN_(HOFFMANN);8
132;UNDINE;6
133;PETER_SCHLEMIHLS_WUNDERSAME_GESCHICHTE;4
134;AHNUNG_UND_GEGENWART;6
135;AUS_DEM_LEBEN_EINES_TAUGENICHTS;5
136;DIE_WAHLVERWANDTSCHAFTEN;4
137;DER_GEISTERSEHER;6
138;MADONNA;3
139;DAS_JUNGE_EUROPA;2
140;WALLY,_DIE_ZWEIFLERIN;6
141;UNTERHALTUNGEN_MIT_EINER_HEILIGEN;2
142;NACHTWACHEN;4
143;MALER_NOLTEN;3
144;MOZART_AUF_DER_REISE_NACH_PRAG;2
145;DER_UNTERTAN;2
146;POLIZEIGESCHICHTEN;1
147;DIE_EPIGONEN;5
148;DER_FALSCHE_WOLDEMAR;1
149;DER_ROLAND_VON_BERLIN;1
150;CABANIS;4
151;ULI_DER_KNECHT;2
152;DER_VERBRECHER_AUS_VERLORENER_EHRE;3
153;ARBEIT;1
154;LIENHARD_UND_GERTRUD;1
155;BUDDENBROOKS;6
156;ELSI,_DIE_SELTSAME_MAGD;1
157;DIE_SCHWARZE_SPINNE_(NOVELLE);3
158;DIE_HOSEN_DES_HERRN_VON_BREDOW;1
159;RINALDO_RINALDINI;3
160;PFLUG_UND_SCHRAUBSTOCK;1
161;DAS_NATURFORSCHERSCHIFF;1
162;ARDISTAN_UND_DSCHINNISTAN;1
163;IM_HAUSE_DES_KOMMERZIENRATES;1
164;PAPA_HAMLET;5
165;DAS_RECHT_DER_MUTTER;2
166;DER_RANGIERBAHNHOF;2
167;CHRISTA_RUHLAND;1
168;SCHICKSALE_EINER_SEELE;2
169;SIBILLA_DALMAR;2
170;WIE_FRAUEN_WERDEN._WERDE,_DIE_DU_BIST;1
171;DAS_KREUZ_IM_VENN;1
172;DAS_WEIBERDORF;1
173;KINDER_DER_EIFEL;1
174;TOD_IN_VENEDIG;2
175;VEREINIGUNGEN;2
176;EINE_AUSSCHWEIFUNG;3
177;VENUS_IM_PELZ;2
178;VON_PAUL_ZU_PEDRO;2
179;DER_PRINZ_VON_THEBEN;1
180;MEIN_HERZ_(ROMAN);2
181;DAS_URTEIL_(KAFKA);5
182;BEBUQUIN;2
183;TUBUTSCH;3
184;JAKOB_VON_GUNTEN;2
185;GESCHWISTER_TANNER;2
186;DER_HEIZER;2
187;PROFESSOR_UNRAT;2
188;ESCH_ODER_DIE_ANARCHIE;2
189;DAS_GESPENST;2
190;DIE_ZWEITE_FRAU;1
191;DIE_FAMILIE;2
192;ANNA;5
193;GABRIELE;1
194;HERMANN_VON_UNNA;1
195;EIN_BRIEF_(HOFMANNSTHAL);5
196;BOZENA;1
197;DIE_LETZTE_RECKENBURGERIN;1
198;DER_POSTEN_DER_FRAU;1
199;LEDWINA;1
200;LOTTI,_DIE_UHRMACHERIN;2
201;JUDITH,_DIE_KLUSWIRTIN;1
202;RITTMEISTER_BRAND;2
203;AUS_DEM_LEBEN_EINER_FRAU;3
204;JENNY;2
205;REVOLUTION_UND_CONTREREVOLUTION;1
206;BILDER_UND_GESCHICHTEN_AUS_SCHWABEN;1
207;ZWEI_SCHWESTERN;1
208;ADELE;1
209;DIE_BARONIN;1
210;ELLEN_VON_DER_WEIDEN;2
211;TAGEBUCH_EINER_VERLORENEN;1
212;HERRN_DAMES_AUFZEICHNUNGEN;2
213;AUS_GUTER_FAMILIE;1
214;ERINNERUNGEN_VON_LUDOLF_URSLEU;1
215;ALSO_SPRACH_ZARATHUSTRA;1
216;BLUMEN;5
217;DIE_BEICHTE;1
218;DAS_JUDENGRAB;1
219;DICHTER_UND_IHRE_GESELLEN;3
220;MEISTER_FLOH;1
221;DER_WINTERGARTEN;3
222;DIE_MAJORATSHERREN;2
223;DER_TOLLE_INVALIDE_AUF_DEM_FORT_RATONNEAU;3
224;SELTSAMES_BEGEGNEN_UND_WIEDERSEHEN;2
225;SCHLOSS_AVALON;1
226;LICHTENSTEIN;2
227;VITTORIA_ACCOROMBONA;3
228;WALDEINSAMKEIT;2
229;PRINZESSIN_BRAMBILLA;3
230;LIBERTAS_UND_IHRE_FREIER;1
231;DER_WASSERMENSCH;1
232;EIGENSINN_UND_LAUNE;1
233;DAS_ZAUBERSCHLOSS;1
234;DER_AUFRUHR_IN_DEN_CEVENNEN;2
235;DER_HEXENSABBAT;1
236;DICHTERLEBEN;1
237;SCHACHTEL_MIT_DER_FRIEDENSPUPPE;1
238;ARIEL'S_OFFENBARUNGEN;1
239;FRAU_VON_SAVERNE;1
240;DER_GOLDNE_TOPF;3
241;DIE_ABENTEUER_DER_SYLVESTERNACHT;1
242;DIE_FERMATE;1
243;KLEIN_ZACHES_GENANNT;1
244;DIE_ZAUBEREI_IM_HERBSTE;2
245;WAS_DIE_ISAR_RAUSCHT;4
246;MEISTER_TIMPE;3
247;ZERBIN_ODER_DIE_NEUERE_PHILOSOPHIE;1
248;DAS_NUSS-KERNEN;2
249;DER_SATYR_MOPSUS;2
250;DER_TOD_ABELS;3
251;DER_LANDPREDIGER;1
252;DER_WALDBRUDER;1
253;ARISTIPP_UND_EINIGE_SEINER_ZEITGENOSSEN;2
254;DAS_HEXAMERON_VON_ROSENHAIN;1
255;FREUDEN_DES_JUNGEN_WERTHERS;2
256;DER_RAUBGRAF;1
257;DAPHNIS;3
258;LIED_DER_PARZEN;1
259;DIE_GUTE_SCHULE;2
260;STERBEN;1
261;DER_TOD_GEORGS;2
262;LEUTNANT_GUSTL;5
263;FRAU_BEATE_UND_IHR_SOHN;1
264;DIE_TOTEN_SCHWEIGEN;1
265;DER_WEG_INS_FREIE;1
266;WIE_WUNDERBAR;1
267;REITERGESCHICHTE;1
268;FRAU_BERTHA_GARLAN;1
269;DAS_DUELL;1
270;GOLDELSE_(MARLITT);2
271;FRAU_SORGE;1
272;KINDER_DER_WELT;1
273;CARSTEN_CURATOR;2
274;EKKEHARD;3
275;HEITERETEI;1
276;DER_SONNENWIRT;1
277;ZUM_ZEITVERTREIB;1
278;HAMMER_UND_AMBOSS;1
279;DIE_JUDEN_VON_BARNOW;2
280;NEUE_GESCHICHTEN_AUS_DEM_GHETTO;1
281;WALDHEIMAT;1
282;DIE_DREI_GERECHTEN_KAMMMACHER;1
283;DER_JUNKER_VON_DENOW;1
284;EINE_MALERARBEIT;2
285;BULEMANNS_HAUS;1
286;EIN_BEKENNTNIS;1
287;IM_ALTEN_EISEN;2
288;DIE_LEUTE_AUS_DEM_WALDE;2
289;ELLERNKLIPP;1
290;BRIGITTA_(STIFTER);2
291;DIE_NIHILISTEN;2
292;DAS_BUCH_LE_GRAND;2
293;MODERNE_LEBENSWIRREN;1
294;AUS_DEN_MEMOIREN_DES_HERRN_SCHNABELEWOPSKI;1
295;SERAPHINE;1
296;SCHLOSS_UND_FABRIK;2
297;WEISSE_SCLAVEN_ODER_DIE_LEIDEN_DES_VOLKES;2
298;FRAGMENT_EINES_ROMANS;1
299;HUMORISTISCHEN_SKIZZEN_AUS_DEM_DEUTSCHEN_HANDELSLEBEN;1
300;IM_SCHLARAFFENLAND;1
301;DE_PROFUNDIS;1
302;DIE_ANARCHISTEN;2
303;DIE_KLEINE_STADT;1
304;ANDROGYNE;1
305;TOTENMESSE;1
306;UNTERM_RAD;2
307;DIE_VERWANDLUNG;2
308;PARALYSE;1
309;EVREMONT;1
310;ELISA_ODER_DAS_WEIB_WIE_ES_SEYN_SOLLTE;1
311;AGNES_VON_LILIEN;1
312;DER_TROTZKOPF;1
313;AUS_TROTZKOPFS_EHE;1
314;MEINE_KINDERJAHRE;1
315;EIN_WORT;1
316;AUS_EINER_FAMILIE;1
317;DIE_GEIER-WALLY_(ROMAN);1
318;OHNE_LIEBE;2
319;DAS_VERLASSENE_HAUS;1
320;DIE_NACHBARN;1
321;LYDIA;2
322;CLEMENTINE;1
323;DIE_FREUNDE_(LUDWIG_TIECK);1
324;DAS_GEHEIMNISS_DES_KOSMOPOLITEN-ORDENS;1
325;DIE_ABENTHEUER_DES_DON_SYLVIO_VON_ROSALVA;2
326;REISE_NACH_BRAUNSCHWEIG;1
327;GESCHICHTE_EINES_DEUTSCHEN_DER_NEUSTEN_ZEIT;1
328;DER_PSYCHOLOGE;1
329;DER_BLONDE_ECKBERT;2
330;DES_VETTERS_ECKFENSTER;2
331;RYNO;2
332;GODWI;2
333;DIE_ELFEN_(LUDWIG_TIECK);2
334;LIEBESZAUBER;1
335;GOCKEL,_HINKEL_UND_GACKELEIA;1
336;AMAZONENSCHLACHT;1
337;DER_EINSAME;2
338;DAS_GEHEIMNIS_DER_ALTEN_MAMSELL;2
339;DER_GENIUS;1
340;ABDALLAH;1
341;DER_SCHATZ_IM_SILBERSEE;1
342;AUF_ZWEI_PLANETEN;1
343;DEUTSCHE_PIONIERE;1
344;DIE_WISKOTTENS;1
345;DAS_SCHWEIGEN_IM_WALDE;1
346;DER_RABBI_VON_BACHERACH;1
347;DER_ALTE_VOM_BERGE;1
348;ADDRICH_IM_MOOS;2
349;DER_JUNGE_TISCHLERMEISTER;1
350;DER_FROMME_SPRUCH;1
351;DER_HOCHWALD;1
352;DER_CONDOR;1
353;DIE_NARRENBURG;2
354;DAS_VERLORENE_LACHEN;2
355;SIEBEN_LEGENDEN;2
356;EEKENHOF;1
357;VIOLA_TRICOLOR_(STORM);1
358;PSYCHE;1
359;DIE_KINDER_VON_FINKENRODE;1
360;DREI_FEDERN;1
361;PRINZESSIN_FISCH;1
362;MEISTER_AUTOR_ODER_DIE_GESCHICHTEN_VOM_VERSUNKENEN_GARTEN;1
363;DEUTSCHER_ADEL_(WILHELM_RAABE);1
364;IM_SIESGESKRANZE;1
365;DES_REICHES_KRONE;1
366;SANKT_THOMAS_(NOVELLE);2
367;GUTMANNS_REISEN;1
368;NACH_DEM_GROSSEN_KRIEGE;1
369;DAS_LEIDEN_EINES_KNABEN;1
370;ALTERSHAUSEN;1
371;SALY'S_REVOLUTIONSTAGE;1
372;DIE_MOLKENKUR;1
373;DAS_GOLDMACHERDORF;1
374;DER_BAUERNSPIEGEL;1
375;DIE_ROSE_VON_DISENTIS;1
376;DER_FREIHOF_VON_AARAU;1
377;JAKOBS_DES_HANDWERKSGESELLEN_WANDERUNGEN_DURCH_DIE_SCHWEIZ;1
378;LEIDEN_UND_FREUDEN_EINES_SCHULMEISTERS;1
379;DIE_WASSERNOT_IM_EMMENTAL;1
380;GELD_UND_GEIST;1
381;DAS_ERDBEERIMAREILI;1
382;HEIDI_(ROMAN);1
383;DAS_HEIMWEH;1
384;AN_HEILIGEN_WASSERN;1
385;EINE_STUNDE_HINTER_MITTERNACHT;1
386;ROSSHALDE;1
387;PETER_CAMENZIND;1
388;DER_GOTTSUCHER;1
389;DIE_GESCHICHTE_DER_ANNA_WASER;1
390;DEN_STEIN_DER_WEISEN;1
391;DIE_CHINESISCHE_MAUER;1
392;MARION;1
393;DER_REBELL;1
394;DER_BESUCH;1
395;DER_SCHWEIZER_ROBINSON_ODER_DER_SCHWEIZER-PREDIGER_UND_SEINE_FAMILIE;1
396;LA_SIBYLLE;1
397;LEBEN_DES_QUINTUS_FIXLEIN;1
398;DAS_SANCTUS;1
399;HOMO_SUM;1
400;NINON;2
401;BARBAROSSA;1
402;DIE_KLUGEN_JUNGFRAUEN;1
403;DER_APOSTEL_(HAUPTMANN);1
404;EIN_ABSCHIED;1
405;DER_HEXENMEISTER;1
406;DER_SCHATZ;1
407;UNWAHRSCHEINLICHE_WAHRHAFTIGKEITEN;1
408;PROKOPUS;1
409;DAS_KLOSTER_BEI_SENDOMIR;1
410;GESCHICHTEN_AUS_DEN_TIROLER_BERGEN;1
411;EINE_GESCHICHTE_AUS_DEM_BREGENZERWALDE;1
412;REICH_UND_ARM;1
413;WIENER_BLUT;1
414;KRIMINAL-HUMORESKEN;1
415;ASPASIA;1
416;JUNGFER_MUTTER;1
417;JAKOB_DER_LETZTE;1
418;TAMBI;1
419;INNOCENS;1
420;DIE_STEINKLOPFER;1
421;REQUIEM_DER_LIEBE;1
422;TRAGIK_DES_LEBENS;1
423;GESCHICHTE_EINES_WIENERKINDES;1
424;DIE_GEIGERIN;1
425;DIE_FAMILIE_WOREL;1
426;LEIB_WEIHNACHTSKUCHEN_UND_SEIN_KIND;1
427;EIN_KAMPF_UMS_RECHT;1
428;POLNISCHE_GHETTO-GESCHICHTEN;1
429;DON_JUAN_VON_KOLOMEA;1
430;DIE_SCHRIFTEN_DES_WALDSCHULMEISTERS;1
431;DIE_HANNA;1
432;AUF_DER_WEGWACHT;1
433;FREIHEIT_DIE_ICH_MEINE;1
434;DIE_LEUTE_VOM_BLAUEN_GUGUCKHAUS;1
435;GRILLPARZERS_LIEBESROMAN;1
436;IM_REICHE_DER_HOMUNKULIDEN;1
437;ELEAGABAL_KUPERUS;1
438;DIE_WEISE_VON_LIEBE_UND_TOD_DES_CORNETS_CHRISTOPH_RILKE;1
