wikiname;variations;author;author_firstname;wikiID;freq;repoID;pub_year;genre;text_source
CECILIA;['Cecilia'];Burney;Frances;Q3233990;8;"6346; 7146; 7152";1782;(['novel'], ['novel']);Gutenberg-US
CELESTINA;['Celestina'];Smith;Charlotte;Q583705;1;ECCO;1791;(['drama', 'comedy'], ['play', 'novel']);ECCO
CELIBATES;['Celibates'];Moore;George;noWikiID;2;6005;1895;novel;Gutenberg-US
CHANCE;['Chance'];Conrad;Joseph;Q793748;2;1476;1912;(['novel'], ['novel']);Gutenberg-US
CHARLOTTE_TEMPLE;['Charlotte Temple'];Rowson;Susanna Hswell;noWikiID;1;171;1791;novel;Gutenberg-US
CHILDREN_OF_THE_GHETTO;['Children of the Ghetto'];Zangwill;Israel;noWikiID;3;12680;1892;novel;Gutenberg-US
CHRONICLES_OF_THE_CANONGATE;"['Chronicles of the Canongate', ""The Surgeon's Daughter""]";Scott;Walter;Q17352486;7;1828;1827;collection of stories;Gutenberg-US
CITY_SCENES;['City Scenes'];Taylor/Taylor;Anne/Jane;noWikiID;1;38612;1806;children's book;Gutenberg-US
CLARISSA;['Clarissa', 'Clarissa Harlowe', 'In Clarissa', 'Clarissa, or The History of a Young Lady', 'Clarissa, or the History of a Young Lady'];Richardson;Samuel;Q980534;121;https://standardebooks.org/ebooks/samuel-richardson/clarissa/download?format=epub;1748;(['epistolary novel'], ['novel']);https://standardebooks.org/ebooks
CLEG_KELLY;['Cleg Kelly'];Crockett;S. R. ;noWikiID;1;48354;1896;novel;Gutenberg-US
COCK_AND_ANCHOR;['Cock and Anchor'];Sheridan Le Fanu;Joseph;noWikiID;1;40126;1845;novel;Gutenberg-US
COELEBS_IN_SEARCH_OF_A_WIFE;['Coelebs in Search of a Wife', 'Coelebs'];Moore;Hannah;Q5140605;10;31879;1814;([], ['novel']);Gutenberg-US
COMETH_UP_AS_A_FLOWER;['Cometh Up as a Flower'];Broughton;Rhoda;Q19571321;3;https://webapp1.dlib.indiana.edu/vwwp/view?docId=VAB7038&doc.view=print;1867;([], ['novel']);https://webapp1.dlib.indiana.edu
CONFESSIONS_OF_A_THUG_(NOVEL);['Confessions of a Thug', 'The Confessions of a Thug'];Taylor;Meadows ;Q5160036;5;44881;1839;([], ['novel']);Gutenberg-US
CONFESSIONS_OF_A_YOUNG_MAN;['Confessions of a Young Man'];Moore;George;Q5160039;6;11654;1888;memoir;Gutenberg-US
CONFESSIONS_OF_AN_ENGLISH_OPIUM-EATER;['Confessions of an English Opium-Eater', 'Confessions of an English Opium Eater', 'Confessions of an English Opium Eater', 'Confessions'];De Quincey;Thomas;Q1610128;8;2040;1821;(['autobiography'], []);Gutenberg-US
CONINGSBY;['Coningsby, or the New Generation', 'Coningsby'];Disreali;Benjamin;Q5161083;3;7412;1843;([], ['novel']);Gutenberg-US
CORAL_ISLAND;['Coral Island'];Ballantyne;R. M. ;Q4232653;5;7124;1858;(['adventure fiction', 'robinsonade'], ['novel']);Gutenberg-US
COUNT_ROBERT_OF_PARIS;['Count Robert of Paris'];Scott;Walter;noWikiID;2;6661;1832;(['historical novel'], []);Gutenberg-US
COUSIN_PHILLIS;"['Cousin Phillis""']";Gaskell;Elizabeth;noWikiID;1;4268;1864;novel;Gutenberg-US
CRANFORD_(NOVEL);['Cranford'];Gaskell;Elizabeth;Q265100;15;394;1851;([], ['novel']);Gutenberg-US
CROTCHET_CASTLE;['Crotchet Castle'];Peacock;Thomas Love;Q5188976;1;2075;1831;([], ['novel']);Gutenberg-US
DANIEL_DERONDA;['Daniel Deronda'];Eliot;George;Q552238;40;7469;1876;(['Bildungsroman'], ['novel']);Gutenberg-US
DAUGHTERS_OF_MEN;['Daughters of Men'];Lynch;Hannah;noWikiID;1;65098;1892;novel;Gutenberg-US
DAVID_COPPERFIELD;['David Copperfield', 'David Copperfield,'];Dickens;Charles;Q189811;18;766;1850;(['autobiographical novel', 'Bildungsroman'], ['novel']);Gutenberg-US
DAVID_ELGINBROD;['David Elginbrod'];MacDonald;George;Q5233331;2;2291;1863;([], ['novel']);Gutenberg-US
DE_PROFUNDIS_(LETTER);['De Profundis'];Wilde;Oscar;Q1249459;9;921;1905;(['epistle'], []);Gutenberg-US
DEERBROOK;['Deerbrook'];Martineau;Harriet;noWikiID;2;24210;1839;;Gutenberg-US
DEMOS;['Demos'];Gissing;George;noWikiID;4;4309;1886;novel;Gutenberg-US
DESPERATE_REMEDIES;['Desperate Remedies'];Hardy;Thomas;Q2846293;3;3044;1871;([], ['novel']);Gutenberg-US
DIANA_OF_THE_CROSSWAYS;['Diana of the Crossways'];Meredith;George;Q5271362;1;4470;1884;([], ['novel']);Gutenberg-US
DISCIPLINE;['Discipline'];Brunton;Mary;noWikiID;4;38510;1814;novel;Gutenberg-US
DOCTOR_THORNE;['Doctor Thorne'];Trollope;Anthony;noWikiID;2;3166;1858;novel;Gutenberg-US
DOMBEY_AND_SON;['Dombey and Son'];Dickens;Charles;Q963659;30;821;1846;(['social criticism'], ['novel']);Gutenberg-US
DR_JEKYLL_AND_MR_HYDE;['Jekyll and Hyde'];Stevenson;Robert Louis;Q217352;51;43;1886;(['sensation fiction', 'Gothic fiction', 'science fiction', 'crime fiction'], ['novella', 'novel']);Gutenberg-US
DRACULA;['Dracula', 'In Dracula'];Stoker;Bram;Q41542;95;345;1897;(['epistolary novel', 'invasion literature', 'Gothic fiction', 'vampire fiction', 'horror fiction', 'Romanticism'], ['novel']);Gutenberg-US
DREAMERS_OF_THE_GHETTO;['Dreamers of the Ghetto'];Zangwill;Israel;noWikiID;1;29875;1898;novel;Gutenberg-US
DUBLINERS;['Dubliners'];Joyce;James;Q459592;52;2814;1914;short stories;Gutenberg-US
EAST_LYNNE;['East Lynne'];Wood;Ellen;Q5328900;42;3322;1861;(['sensation fiction'], ['novel']);Gutenberg-US
EMMA_(NOVEL);['Emma'];Austen;Jane;Q223880;38;158;1815;(['romantic fiction'], ['novel']);Gutenberg-US
EMMA_OR_THE_UNFORTUNATE_ATTACHMENT;['Emma'];Cavendish;Georgiana;noWikiID;2;pdf;1773;novel;PDF
EMMELINE;['Emmeline, the Orphan of the Castle', 'Emmeline', 'Castle from Emmeline, the Orphan of the Castle'];Smith;Charlotte;Q5373421;6;41646;1788;(['Gothic fiction'], ['novel']);Gutenberg-US
ENNUI;['Ennui'];Edgeworth;Maria;Q117149111;2;9439;1809;([], ['novel']);Gutenberg-US
EREWHON;['Erewhon'];Butler;Samuel;Q1350048;10;1906;1872;(['science fiction', 'fantasy', 'satirical fiction', 'utopian fiction', 'lost world fiction'], ['novel']);Gutenberg-US
EREWHON_REVISITED;['Erewhon Revisited'];Butler;Samuel;Q5385740;1;1971;1901;([], ['novel']);Gutenberg-US
