"","Text","canonisation_score","Score.Range","class"
"38","WILHELM_MEISTERS_THEATRALISCHE_SENDUNG_Q2574172",0.425970768854918,"Mid-Low (0.25-0.5)","Review, No Catalogue"
"39","VOR_DEM_STURM_(ROMAN)_Q1273542",0.2221662156401,"Low (0-0.25)","Review & Catalogue"
"40","DER_WINTERGARTEN_noWikiID",0.0851189742374057,"Low (0-0.25)","No Review & No Catalogue"
"41","DIE_LEUTE_AUS_DEM_WALDE_Q1214404",0.0645339993923284,"Low (0-0.25)","No Review & No Catalogue"
"42","DER_HUNGERPASTOR_Q1194487",0.235356216581709,"Low (0-0.25)","Review & Catalogue"
"43","GOLDELSE_(MARLITT)_Q93955765",0.0255818179471078,"Low (0-0.25)","No Review, Catalogue"
"44","GODWI_Q1533941",0.164245491888855,"Low (0-0.25)","No Review & No Catalogue"
"45","RUHE_IST_DIE_ERSTE_BUERGERPFLICHT_noWikiID",0.0237824899093644,"Low (0-0.25)","Review & Catalogue"
"46","MARIA_noWikiID",0.0394945910733656,"Low (0-0.25)","No Review, Catalogue"
"47","ISEGRIMM_noWikiID",0.0205467828522686,"Low (0-0.25)","Review & Catalogue"
"48","GRANDISON_DER_ZWEYTE_noWikiID",0.0560723413501725,"Low (0-0.25)","No Review, Catalogue"
"49","DER_FREIHOF_VON_AARAU_noWikiID",0.0205467828522686,"Low (0-0.25)","No Review, Catalogue"
"50","WILLIAM_LOVELL_Q2579763",0.372234887656701,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"51","FRANZ_STERNBALDS_WANDERUNGEN_Q1449176",0.725697489186951,"Mid-High (0.5-0.75)","No Review, Catalogue"
"52","SIEGWART_noWikiID",0.0237824899093644,"Low (0-0.25)","No Review, Catalogue"
"53","ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES_Q689540",0.154236863598718,"Low (0-0.25)","No Review, Catalogue"
"54","SCHWARZWAELDER_DORFGESCHICHTEN_Q60982841",0.0455753535426939,"Low (0-0.25)","Review & Catalogue"
"55","DAS_GEHEIMNIS_DER_ALTEN_MAMSELL_noWikiID",0.0221068485323305,"Low (0-0.25)","No Review, Catalogue"
"56","DER_REDLICHE_MANN_AM_HOFE_noWikiID",0.0255818179471078,"Low (0-0.25)","No Review & No Catalogue"
"57","JULCHEN_GRUENTHAL_noWikiID",0.0205467828522686,"Low (0-0.25)","No Review & No Catalogue"
